model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
baseline_logit,origin_2021_04,2021-04-01,127180,844,0.006636263563453373,0.016256953154596028,0.006285993364410638,0.03647659191543815,2067.5593022015228,1223.5593022015228,1223.5593022015228
baseline_logit,origin_2021_04,2021-05-01,129506,787,0.0060769385202230014,0.016127573774012947,0.005888861080150258,0.034797459486646025,2088.6175691773205,1301.6175691773205,1301.6175691773205
baseline_logit,origin_2021_04,2021-06-01,131593,751,0.005706990493415303,0.015928194528183708,0.005651978015473356,0.033947119101608386,2096.0389025472787,1345.0389025472787,1345.0389025472787
baseline_logit,origin_2021_04,2021-07-01,134680,757,0.0056207306207306205,0.015858797473700878,0.005595110882368229,0.03368725669445236,2135.862843758034,1378.8628437580342,1378.8628437580342
baseline_logit,origin_2021_04,2021-08-01,137248,721,0.005253264164140826,0.015679239953726075,0.005250850977365168,0.03235443659093585,2151.9443251689963,1430.9443251689963,1430.9443251689963
baseline_logit,origin_2021_04,2021-09-01,140411,728,0.005184778970308594,0.015760472365767858,0.005143773226141581,0.03190072145973252,2212.943685349831,1484.943685349831,1484.943685349831
baseline_logit,origin_2021_04,2021-10-01,143568,713,0.004966287752145325,0.015940512457342893,0.004949313857870872,0.031191166074878356,2288.5474924758046,1575.5474924758046,1575.5474924758046
baseline_logit,origin_2021_04,2021-11-01,147223,689,0.004679975275602317,0.015745934822601955,0.00482510571315032,0.03076966631038385,2318.163762387928,1629.1637623879278,1629.1637623879278
baseline_logit,origin_2021_04,2021-12-01,150571,704,0.004675535129606631,0.015676424995620504,0.004943426533164744,0.03141709660339892,2360.414988015575,1656.414988015575,1656.414988015575
baseline_logit,origin_2021_04,2022-01-01,153543,745,0.004852060986173254,0.015779470708406428,0.005172121168725789,0.032462193810062386,2422.827270980848,1677.827270980848,1677.827270980848
baseline_logit,origin_2021_04,2022-02-01,157073,779,0.004959477440425789,0.016054044506022658,0.0053237659888311405,0.03319963745624391,2521.656932694497,1742.6569326944968,1742.6569326944968
baseline_logit,origin_2021_04,2022-03-01,160026,783,0.00489295489482959,0.015992735877205816,0.00527295439402662,0.032957846454659115,2559.253551485738,1776.2535514857382,1776.2535514857382
macro_logit,origin_2021_04,2021-04-01,127180,844,0.006636263563453373,0.40332013034799935,0.1681676050110872,0.5248596558704305,51294.25417765856,50450.25417765856,50450.25417765856
macro_logit,origin_2021_04,2021-05-01,129506,787,0.0060769385202230014,0.29754751342327546,0.09418649477343534,0.3610446844609089,38534.18827339471,37747.18827339471,37747.18827339471
macro_logit,origin_2021_04,2021-06-01,131593,751,0.005706990493415303,0.12744393281125133,0.02121753123889458,0.1463991540430228,16770.729450430998,16019.729450430998,16019.729450430998
macro_logit,origin_2021_04,2021-07-01,134680,757,0.0056207306207306205,0.12899101887780523,0.021567790984810892,0.14802728342391805,17372.51042246281,16615.51042246281,16615.51042246281
macro_logit,origin_2021_04,2021-08-01,137248,721,0.005253264164140826,0.17019709183433446,0.033791122374283646,0.19472301979015996,23359.210460078735,22638.210460078735,22638.210460078735
macro_logit,origin_2021_04,2021-09-01,140411,728,0.005184778970308594,0.21679356954089668,0.051966599815070895,0.2516435244307814,30440.201892806843,29712.201892806843,29712.201892806843
macro_logit,origin_2021_04,2021-10-01,143568,713,0.004966287752145325,0.3147275673817973,0.10439214958207033,0.38502370170442396,45184.80739386987,44471.80739386987,44471.80739386987
macro_logit,origin_2021_04,2021-11-01,147223,689,0.004679975275602317,0.3594637167906653,0.13462204283393192,0.4529619881183188,52921.326777072114,52232.326777072114,52232.326777072114
macro_logit,origin_2021_04,2021-12-01,150571,704,0.004675535129606631,0.39167934948231703,0.1587666539597333,0.5049291117123287,58975.55133090196,58271.55133090196,58271.55133090196
macro_logit,origin_2021_04,2022-01-01,153543,745,0.004852060986173254,0.4823218513767936,0.23754631052631844,0.6681325726782121,74057.14402594703,73312.14402594703,73312.14402594703
macro_logit,origin_2021_04,2022-02-01,157073,779,0.004959477440425789,0.379897006826884,0.14979399413745373,0.48575320590249155,59671.56255331915,58892.56255331915,58892.56255331915
macro_logit,origin_2021_04,2022-03-01,160026,783,0.00489295489482959,0.46740940665883274,0.22365456144764623,0.6397070087484752,74797.65770998636,74014.65770998636,74014.65770998636
regime_aware_logit,origin_2021_04,2021-04-01,127180,844,0.006636263563453373,0.018113437592325952,0.00689502982380321,0.04018719010386977,2303.6669929920145,1459.6669929920145,1459.6669929920145
regime_aware_logit,origin_2021_04,2021-05-01,129506,787,0.0060769385202230014,0.017923843027464605,0.006395228582224269,0.0380929789119433,2321.2452151148314,1534.2452151148314,1534.2452151148314
regime_aware_logit,origin_2021_04,2021-06-01,131593,751,0.005706990493415303,0.017523294866485264,0.006063877845843526,0.03698199919222923,2305.942941365395,1554.9429413653952,1554.9429413653952
regime_aware_logit,origin_2021_04,2021-07-01,134680,757,0.0056207306207306205,0.01735597717247011,0.005927796071963279,0.03644981778232091,2337.5030055882744,1580.5030055882744,1580.5030055882744
regime_aware_logit,origin_2021_04,2021-08-01,137248,721,0.005253264164140826,0.017178581940400964,0.005588195297791324,0.03493709731023511,2357.7260141561515,1636.7260141561515,1636.7260141561515
regime_aware_logit,origin_2021_04,2021-09-01,140411,728,0.005184778970308594,0.017209589633971255,0.005461759431897979,0.03438590689814484,2416.4156900955377,1688.4156900955377,1688.4156900955377
regime_aware_logit,origin_2021_04,2021-10-01,143568,713,0.004966287752145325,0.017252598198258192,0.0052106838062085555,0.033496279961575476,2476.921018127532,1763.921018127532,1763.921018127532
regime_aware_logit,origin_2021_04,2021-11-01,147223,689,0.004679975275602317,0.017017949562244516,0.005074280361013719,0.03305647387225403,2505.4335884023244,1816.4335884023244,1816.4335884023244
regime_aware_logit,origin_2021_04,2021-12-01,150571,704,0.004675535129606631,0.016930860524515843,0.005230008067883865,0.03376402879326869,2549.296600036875,1845.2966000368751,1845.2966000368751
regime_aware_logit,origin_2021_04,2022-01-01,153543,745,0.004852060986173254,0.01704299878055689,0.005441443934383262,0.03485028257562241,2616.8331617630465,1871.8331617630465,1871.8331617630465
