fold,model,quantity,value
origin_2021_04,baseline_logit,alpha,3e-05
origin_2021_04,baseline_logit,tuning_validation_brier,0.01822373985029539
origin_2021_04,baseline_logit,validation_brier,0.016804692338279227
origin_2021_04,baseline_logit,validation_log_loss,0.07539172067493533
origin_2021_04,baseline_logit,platt_intercept,-1.23488159554305
origin_2021_04,baseline_logit,platt_logit_slope,0.7560151310013163
origin_2021_04,baseline_logit,imputation_median_credit_score,757.0
origin_2021_04,baseline_logit,training_missing_share_credit_score,6.423850572900847e-05
origin_2021_04,baseline_logit,imputation_median_mi_percent,0.0
origin_2021_04,baseline_logit,training_missing_share_mi_percent,0.0
origin_2021_04,baseline_logit,imputation_median_number_of_units,1.0
origin_2021_04,baseline_logit,training_missing_share_number_of_units,0.0
origin_2021_04,baseline_logit,imputation_median_original_cltv,80.0
origin_2021_04,baseline_logit,training_missing_share_original_cltv,1.1757180800486822e-05
origin_2021_04,baseline_logit,imputation_median_original_dti,36.0
origin_2021_04,baseline_logit,training_missing_share_original_dti,0.056877490133047104
origin_2021_04,baseline_logit,imputation_median_original_ltv,79.0
origin_2021_04,baseline_logit,training_missing_share_original_ltv,1.1416392226237804e-05
origin_2021_04,baseline_logit,imputation_median_number_of_borrowers,1.0
origin_2021_04,baseline_logit,training_missing_share_number_of_borrowers,0.0
origin_2021_04,macro_logit,alpha,3e-06
origin_2021_04,macro_logit,tuning_validation_brier,0.01990192312370882
origin_2021_04,macro_logit,validation_brier,0.02262108883230613
origin_2021_04,macro_logit,validation_log_loss,0.11005004865350422
origin_2021_04,macro_logit,platt_intercept,-0.019516403708949134
origin_2021_04,macro_logit,platt_logit_slope,0.26952007750912405
origin_2021_04,macro_logit,imputation_median_credit_score,757.0
origin_2021_04,macro_logit,training_missing_share_credit_score,6.423850572900847e-05
origin_2021_04,macro_logit,imputation_median_mi_percent,0.0
origin_2021_04,macro_logit,training_missing_share_mi_percent,0.0
origin_2021_04,macro_logit,imputation_median_number_of_units,1.0
origin_2021_04,macro_logit,training_missing_share_number_of_units,0.0
origin_2021_04,macro_logit,imputation_median_original_cltv,80.0
origin_2021_04,macro_logit,training_missing_share_original_cltv,1.1757180800486822e-05
origin_2021_04,macro_logit,imputation_median_original_dti,36.0
origin_2021_04,macro_logit,training_missing_share_original_dti,0.056877490133047104
origin_2021_04,macro_logit,imputation_median_original_ltv,79.0
origin_2021_04,macro_logit,training_missing_share_original_ltv,1.1416392226237804e-05
origin_2021_04,macro_logit,imputation_median_number_of_borrowers,1.0
origin_2021_04,macro_logit,training_missing_share_number_of_borrowers,0.0
origin_2021_04,regime_aware_logit,alpha,1e-05
origin_2021_04,regime_aware_logit,tuning_validation_brier,0.02269878994981298
origin_2021_04,regime_aware_logit,validation_brier,0.01826772309844568
origin_2021_04,regime_aware_logit,validation_log_loss,0.08229606735151229
origin_2021_04,regime_aware_logit,platt_intercept,-0.8839621234072644
origin_2021_04,regime_aware_logit,platt_logit_slope,0.8147260669480233
origin_2021_04,regime_aware_logit,imputation_median_credit_score,757.0
origin_2021_04,regime_aware_logit,training_missing_share_credit_score,6.423850572900847e-05
origin_2021_04,regime_aware_logit,imputation_median_mi_percent,0.0
origin_2021_04,regime_aware_logit,training_missing_share_mi_percent,0.0
origin_2021_04,regime_aware_logit,imputation_median_number_of_units,1.0
origin_2021_04,regime_aware_logit,training_missing_share_number_of_units,0.0
origin_2021_04,regime_aware_logit,imputation_median_original_cltv,80.0
origin_2021_04,regime_aware_logit,training_missing_share_original_cltv,1.1757180800486822e-05
origin_2021_04,regime_aware_logit,imputation_median_original_dti,36.0
origin_2021_04,regime_aware_logit,training_missing_share_original_dti,0.056877490133047104
origin_2021_04,regime_aware_logit,imputation_median_original_ltv,79.0
origin_2021_04,regime_aware_logit,training_missing_share_original_ltv,1.1416392226237804e-05
origin_2021_04,regime_aware_logit,imputation_median_number_of_borrowers,1.0
origin_2021_04,regime_aware_logit,training_missing_share_number_of_borrowers,0.0
origin_2022_04,baseline_logit,alpha,3e-05
origin_2022_04,baseline_logit,tuning_validation_brier,0.005335424965279772
origin_2022_04,baseline_logit,validation_brier,0.004807373078287292
origin_2022_04,baseline_logit,validation_log_loss,0.026663393056122715
origin_2022_04,baseline_logit,platt_intercept,-1.1402636791643543
origin_2022_04,baseline_logit,platt_logit_slope,0.996697385535821
origin_2022_04,baseline_logit,imputation_median_credit_score,757.0
origin_2022_04,baseline_logit,training_missing_share_credit_score,8.430988964391872e-05
origin_2022_04,baseline_logit,imputation_median_mi_percent,0.0
origin_2022_04,baseline_logit,training_missing_share_mi_percent,0.0
origin_2022_04,baseline_logit,imputation_median_number_of_units,1.0
origin_2022_04,baseline_logit,training_missing_share_number_of_units,0.0
origin_2022_04,baseline_logit,imputation_median_original_cltv,79.0
origin_2022_04,baseline_logit,training_missing_share_original_cltv,1.1204880138393492e-05
origin_2022_04,baseline_logit,imputation_median_original_dti,36.0
origin_2022_04,baseline_logit,training_missing_share_original_dti,0.05331254377961159
origin_2022_04,baseline_logit,imputation_median_original_ltv,79.0
origin_2022_04,baseline_logit,training_missing_share_original_ltv,9.15520649868995e-06
origin_2022_04,baseline_logit,imputation_median_number_of_borrowers,1.0
origin_2022_04,baseline_logit,training_missing_share_number_of_borrowers,0.0
origin_2022_04,macro_logit,alpha,3e-05
origin_2022_04,macro_logit,tuning_validation_brier,0.004865832838507604
origin_2022_04,macro_logit,validation_brier,0.004769019470261128
origin_2022_04,macro_logit,validation_log_loss,0.026244801110567383
origin_2022_04,macro_logit,platt_intercept,1.6935113766268792
origin_2022_04,macro_logit,platt_logit_slope,1.0417307277888928
origin_2022_04,macro_logit,imputation_median_credit_score,757.0
origin_2022_04,macro_logit,training_missing_share_credit_score,8.430988964391872e-05
origin_2022_04,macro_logit,imputation_median_mi_percent,0.0
origin_2022_04,macro_logit,training_missing_share_mi_percent,0.0
origin_2022_04,macro_logit,imputation_median_number_of_units,1.0
origin_2022_04,macro_logit,training_missing_share_number_of_units,0.0
origin_2022_04,macro_logit,imputation_median_original_cltv,79.0
origin_2022_04,macro_logit,training_missing_share_original_cltv,1.1204880138393492e-05
origin_2022_04,macro_logit,imputation_median_original_dti,36.0
origin_2022_04,macro_logit,training_missing_share_original_dti,0.05331254377961159
origin_2022_04,macro_logit,imputation_median_original_ltv,79.0
origin_2022_04,macro_logit,training_missing_share_original_ltv,9.15520649868995e-06
origin_2022_04,macro_logit,imputation_median_number_of_borrowers,1.0
origin_2022_04,macro_logit,training_missing_share_number_of_borrowers,0.0
origin_2022_04,regime_aware_logit,alpha,3e-05
origin_2022_04,regime_aware_logit,tuning_validation_brier,0.005623350508457092
origin_2022_04,regime_aware_logit,validation_brier,0.004761106358054813
origin_2022_04,regime_aware_logit,validation_log_loss,0.02561120945170998
origin_2022_04,regime_aware_logit,platt_intercept,-1.0518680402238703
origin_2022_04,regime_aware_logit,platt_logit_slope,1.0297846057750997
origin_2022_04,regime_aware_logit,imputation_median_credit_score,757.0
origin_2022_04,regime_aware_logit,training_missing_share_credit_score,8.430988964391872e-05
origin_2022_04,regime_aware_logit,imputation_median_mi_percent,0.0
origin_2022_04,regime_aware_logit,training_missing_share_mi_percent,0.0
origin_2022_04,regime_aware_logit,imputation_median_number_of_units,1.0
origin_2022_04,regime_aware_logit,training_missing_share_number_of_units,0.0
origin_2022_04,regime_aware_logit,imputation_median_original_cltv,79.0
origin_2022_04,regime_aware_logit,training_missing_share_original_cltv,1.1204880138393492e-05
origin_2022_04,regime_aware_logit,imputation_median_original_dti,36.0
origin_2022_04,regime_aware_logit,training_missing_share_original_dti,0.05331254377961159
origin_2022_04,regime_aware_logit,imputation_median_original_ltv,79.0
origin_2022_04,regime_aware_logit,training_missing_share_original_ltv,9.15520649868995e-06
origin_2022_04,regime_aware_logit,imputation_median_number_of_borrowers,1.0
origin_2022_04,regime_aware_logit,training_missing_share_number_of_borrowers,0.0
origin_2023_04,baseline_logit,alpha,1e-05
origin_2023_04,baseline_logit,tuning_validation_brier,0.005484090096681182
origin_2023_04,baseline_logit,validation_brier,0.004946076559594422
origin_2023_04,baseline_logit,validation_log_loss,0.026985674242476825
origin_2023_04,baseline_logit,platt_intercept,-0.9872769526859833
origin_2023_04,baseline_logit,platt_logit_slope,1.0491365008997617
origin_2023_04,baseline_logit,imputation_median_credit_score,758.0
origin_2023_04,baseline_logit,training_missing_share_credit_score,9.943679469870403e-05
origin_2023_04,baseline_logit,imputation_median_mi_percent,0.0
origin_2023_04,baseline_logit,training_missing_share_mi_percent,0.0
origin_2023_04,baseline_logit,imputation_median_number_of_units,1.0
origin_2023_04,baseline_logit,training_missing_share_number_of_units,0.0
origin_2023_04,baseline_logit,imputation_median_original_cltv,78.0
origin_2023_04,baseline_logit,training_missing_share_original_cltv,1.0408752132207155e-05
origin_2023_04,baseline_logit,imputation_median_original_dti,35.0
origin_2023_04,baseline_logit,training_missing_share_original_dti,0.048415422439575195
origin_2023_04,baseline_logit,imputation_median_original_ltv,78.0
origin_2023_04,baseline_logit,training_missing_share_original_ltv,7.419003850372974e-06
origin_2023_04,baseline_logit,imputation_median_number_of_borrowers,1.0
origin_2023_04,baseline_logit,training_missing_share_number_of_borrowers,0.0
origin_2023_04,macro_logit,alpha,3e-05
origin_2023_04,macro_logit,tuning_validation_brier,0.005109006488417215
origin_2023_04,macro_logit,validation_brier,0.004765598294861387
origin_2023_04,macro_logit,validation_log_loss,0.027009582111690137
origin_2023_04,macro_logit,platt_intercept,-1.8646180421131682
origin_2023_04,macro_logit,platt_logit_slope,0.7348951604504557
origin_2023_04,macro_logit,imputation_median_credit_score,758.0
origin_2023_04,macro_logit,training_missing_share_credit_score,9.943679469870403e-05
origin_2023_04,macro_logit,imputation_median_mi_percent,0.0
origin_2023_04,macro_logit,training_missing_share_mi_percent,0.0
origin_2023_04,macro_logit,imputation_median_number_of_units,1.0
origin_2023_04,macro_logit,training_missing_share_number_of_units,0.0
origin_2023_04,macro_logit,imputation_median_original_cltv,78.0
origin_2023_04,macro_logit,training_missing_share_original_cltv,1.0408752132207155e-05
origin_2023_04,macro_logit,imputation_median_original_dti,35.0
origin_2023_04,macro_logit,training_missing_share_original_dti,0.048415422439575195
origin_2023_04,macro_logit,imputation_median_original_ltv,78.0
origin_2023_04,macro_logit,training_missing_share_original_ltv,7.419003850372974e-06
origin_2023_04,macro_logit,imputation_median_number_of_borrowers,1.0
origin_2023_04,macro_logit,training_missing_share_number_of_borrowers,0.0
origin_2023_04,regime_aware_logit,alpha,1e-05
origin_2023_04,regime_aware_logit,tuning_validation_brier,0.005571752509167079
origin_2023_04,regime_aware_logit,validation_brier,0.004928058842732742
origin_2023_04,regime_aware_logit,validation_log_loss,0.026557725457326903
origin_2023_04,regime_aware_logit,platt_intercept,-0.8194099779233331
origin_2023_04,regime_aware_logit,platt_logit_slope,1.0277516713500474
origin_2023_04,regime_aware_logit,imputation_median_credit_score,758.0
origin_2023_04,regime_aware_logit,training_missing_share_credit_score,9.943679469870403e-05
origin_2023_04,regime_aware_logit,imputation_median_mi_percent,0.0
origin_2023_04,regime_aware_logit,training_missing_share_mi_percent,0.0
origin_2023_04,regime_aware_logit,imputation_median_number_of_units,1.0
origin_2023_04,regime_aware_logit,training_missing_share_number_of_units,0.0
origin_2023_04,regime_aware_logit,imputation_median_original_cltv,78.0
origin_2023_04,regime_aware_logit,training_missing_share_original_cltv,1.0408752132207155e-05
origin_2023_04,regime_aware_logit,imputation_median_original_dti,35.0
origin_2023_04,regime_aware_logit,training_missing_share_original_dti,0.048415422439575195
origin_2023_04,regime_aware_logit,imputation_median_original_ltv,78.0
origin_2023_04,regime_aware_logit,training_missing_share_original_ltv,7.419003850372974e-06
origin_2023_04,regime_aware_logit,imputation_median_number_of_borrowers,1.0
origin_2023_04,regime_aware_logit,training_missing_share_number_of_borrowers,0.0
