model,fold,split,bin,n,mean_pred,observed_rate,event_count
baseline_logit,origin_2021_04,validation,0,144949,0.0013673655918037687,0.0014832803261836923,215
baseline_logit,origin_2021_04,validation,1,144949,0.0027399542226591903,0.003946215565474753,572
baseline_logit,origin_2021_04,validation,2,144949,0.004216311644391862,0.005546778522100877,804
baseline_logit,origin_2021_04,validation,3,144949,0.005895626481079978,0.007312916956998669,1060
baseline_logit,origin_2021_04,validation,4,144949,0.007858520294803278,0.008485743261422983,1230
baseline_logit,origin_2021_04,validation,5,144949,0.010268248448903084,0.010024215413697232,1453
baseline_logit,origin_2021_04,validation,6,144948,0.013353498957007931,0.012287165052294616,1781
baseline_logit,origin_2021_04,validation,7,144948,0.017772285695491934,0.014494853326710268,2101
baseline_logit,origin_2021_04,validation,8,144948,0.025849054804294627,0.01951044512514833,2828
baseline_logit,origin_2021_04,validation,9,144948,0.14223759014885956,0.1484601374285951,21519
baseline_logit,origin_2021_04,test,0,171263,0.001011942652877636,0.0005780583079824597,99
baseline_logit,origin_2021_04,test,1,171263,0.0017641795048316418,0.0012670570993150885,217
baseline_logit,origin_2021_04,test,2,171262,0.002568939208286716,0.0021954665950415153,376
baseline_logit,origin_2021_04,test,3,171262,0.0036401178487251384,0.0027676892714087187,474
baseline_logit,origin_2021_04,test,4,171262,0.005237918277333429,0.0033574289684810406,575
baseline_logit,origin_2021_04,test,5,171262,0.007745337997193925,0.0033515899615793347,574
baseline_logit,origin_2021_04,test,6,171262,0.011434694263067213,0.002820240333524074,483
baseline_logit,origin_2021_04,test,7,171262,0.016797529848157022,0.0036727353411731734,629
baseline_logit,origin_2021_04,test,8,171262,0.025791373840500433,0.004787985659399049,820
baseline_logit,origin_2021_04,test,9,171262,0.08296808526674494,0.027758638810711073,4754
macro_logit,origin_2021_04,validation,0,144949,0.023133378102448587,0.016322982566281934,2366
macro_logit,origin_2021_04,validation,1,144949,0.023133378102448587,0.019337836066478556,2803
macro_logit,origin_2021_04,validation,2,144949,0.023133378102448587,0.020407177696983077,2958
macro_logit,origin_2021_04,validation,3,144949,0.023133378102448587,0.027485529393096883,3984
macro_logit,origin_2021_04,validation,4,144949,0.023133378102448587,0.029327556588869187,4251
macro_logit,origin_2021_04,validation,5,144949,0.023133378102448587,0.039158600611249476,5676
macro_logit,origin_2021_04,validation,6,144948,0.023133378102448587,0.03437094682230869,4982
macro_logit,origin_2021_04,validation,7,144948,0.023133378102448587,0.026913099870298315,3901
macro_logit,origin_2021_04,validation,8,144948,0.023133378102448587,0.011583464414824626,1679
macro_logit,origin_2021_04,validation,9,144948,0.023354727432393085,0.0066437619008196044,963
macro_logit,origin_2021_04,test,0,171263,0.10520132271622008,0.0022538435038508024,386
macro_logit,origin_2021_04,test,1,171263,0.14828602968258775,0.0038537220532163983,660
macro_logit,origin_2021_04,test,2,171262,0.19957754892148744,0.005512022515210613,944
macro_logit,origin_2021_04,test,3,171262,0.2597608967870916,0.004116499865702841,705
macro_logit,origin_2021_04,test,4,171262,0.30755312804870344,0.003503404141023695,600
macro_logit,origin_2021_04,test,5,171262,0.34567698778779266,0.0033807849960878654,579
macro_logit,origin_2021_04,test,6,171262,0.38128103244017647,0.0039004566103397133,668
macro_logit,origin_2021_04,test,7,171262,0.4183002147909742,0.005050740969975827,865
macro_logit,origin_2021_04,test,8,171262,0.46295604931397394,0.006276932419334119,1075
macro_logit,origin_2021_04,test,9,171262,0.544199884188018,0.014708458385397812,2519
regime_aware_logit,origin_2021_04,validation,0,144949,0.0006365222429779524,0.001579866021842165,229
regime_aware_logit,origin_2021_04,validation,1,144949,0.0016418638990075452,0.0046292144133453835,671
regime_aware_logit,origin_2021_04,validation,2,144949,0.0030424793263275312,0.006429847739549773,932
regime_aware_logit,origin_2021_04,validation,3,144949,0.0049225842375625155,0.008637520783172013,1252
regime_aware_logit,origin_2021_04,validation,4,144949,0.0074027444735369615,0.008954873783192709,1298
regime_aware_logit,origin_2021_04,validation,5,144949,0.01073172008360319,0.010893486674623488,1579
regime_aware_logit,origin_2021_04,validation,6,144948,0.015285627060774454,0.012576924138311671,1823
regime_aware_logit,origin_2021_04,validation,7,144948,0.022161126008264784,0.01657835913569004,2403
regime_aware_logit,origin_2021_04,validation,8,144948,0.034856181242346775,0.023463586941523857,3401
regime_aware_logit,origin_2021_04,validation,9,144948,0.13087140183680182,0.13780804150453957,19975
regime_aware_logit,origin_2021_04,test,0,171263,0.000800819957474745,0.0006247700904456888,107
regime_aware_logit,origin_2021_04,test,1,171263,0.0015719628612150722,0.0013020909361625102,223
regime_aware_logit,origin_2021_04,test,2,171262,0.0024405472310509136,0.0020611694363022737,353
regime_aware_logit,origin_2021_04,test,3,171262,0.003609805105035018,0.0029311814646564914,502
regime_aware_logit,origin_2021_04,test,4,171262,0.005322772152942429,0.0032114537959383868,550
regime_aware_logit,origin_2021_04,test,5,171262,0.008018085139410224,0.003760320444698766,644
regime_aware_logit,origin_2021_04,test,6,171262,0.012214747704151591,0.0034625310927117515,593
regime_aware_logit,origin_2021_04,test,7,171262,0.01883659729096256,0.004116499865702841,705
regime_aware_logit,origin_2021_04,test,8,171262,0.03072774693988617,0.005844845908607864,1001
regime_aware_logit,origin_2021_04,test,9,171262,0.09224498248155624,0.02524202683607572,4323
baseline_logit,origin_2022_04,validation,0,171263,0.00032866801257501243,0.0005488634439429416,94
baseline_logit,origin_2022_04,validation,1,171263,0.000632685120476621,0.0010743709966542685,184
baseline_logit,origin_2022_04,validation,2,171262,0.0009485568229708396,0.0014013616564094778,240
baseline_logit,origin_2022_04,validation,3,171262,0.0013279612075511758,0.001880160222349383,322
baseline_logit,origin_2022_04,validation,4,171262,0.0018027013951121228,0.0024932559470285296,427
baseline_logit,origin_2022_04,validation,5,171262,0.0024401496470195755,0.0030946736579042637,530
baseline_logit,origin_2022_04,validation,6,171262,0.003361996964173514,0.0032464878373486238,556
baseline_logit,origin_2022_04,validation,7,171262,0.004835520130896336,0.004455162266001798,763
baseline_logit,origin_2022_04,validation,8,171262,0.007641301006808948,0.005704709742966916,977
baseline_logit,origin_2022_04,validation,9,171262,0.029158049120741658,0.028657845873573822,4908
baseline_logit,origin_2022_04,test,0,216285,0.0003902063751200706,0.0004346117391404859,94
baseline_logit,origin_2022_04,test,1,216285,0.0007647328854509008,0.0008645999491411795,187
baseline_logit,origin_2022_04,test,2,216285,0.0011584162219601595,0.0013038352174214577,282
baseline_logit,origin_2022_04,test,3,216285,0.0016355356192112127,0.0017476940148415286,378
baseline_logit,origin_2022_04,test,4,216285,0.0022457538303630757,0.002556811614305199,553
baseline_logit,origin_2022_04,test,5,216285,0.0030873900464943134,0.0033751762720484546,730
baseline_logit,origin_2022_04,test,6,216285,0.004338701633304084,0.0037080703701135075,802
baseline_logit,origin_2022_04,test,7,216284,0.00638546314639493,0.004813116088106379,1041
baseline_logit,origin_2022_04,test,8,216284,0.010370029433254348,0.006214051894731002,1344
baseline_logit,origin_2022_04,test,9,216284,0.036307408464245114,0.027727432449926946,5997
macro_logit,origin_2022_04,validation,0,171263,0.00035424829405444745,0.0005313465255192307,91
macro_logit,origin_2022_04,validation,1,171263,0.0007084557000116141,0.0007707444106432797,132
macro_logit,origin_2022_04,validation,2,171262,0.0010588123882567088,0.0013020985390804732,223
macro_logit,origin_2022_04,validation,3,171262,0.0014592727551848404,0.0016582779600845489,284
macro_logit,origin_2022_04,validation,4,171262,0.0019476865328285056,0.0022421786502551644,384
macro_logit,origin_2022_04,validation,5,171262,0.0025777829429937207,0.002884469409442842,494
macro_logit,origin_2022_04,validation,6,171262,0.0034426547194340443,0.0031939367752332683,547
macro_logit,origin_2022_04,validation,7,171262,0.0047503462301521394,0.004764629631792225,816
macro_logit,origin_2022_04,validation,8,171262,0.007151886012703546,0.006218542350317058,1065
macro_logit,origin_2022_04,validation,9,171262,0.029239681336133912,0.028990669266971074,4965
macro_logit,origin_2022_04,test,0,216285,0.0003090182918059312,0.0005640705550546732,122
macro_logit,origin_2022_04,test,1,216285,0.0007393146973905012,0.0013038352174214577,282
macro_logit,origin_2022_04,test,2,216285,0.001319704890390713,0.0022840233950574473,494
macro_logit,origin_2022_04,test,3,216285,0.002225639781422072,0.0030792704071017406,666
macro_logit,origin_2022_04,test,4,216285,0.003770702779822256,0.003356682155489285,726
macro_logit,origin_2022_04,test,5,216285,0.006443671328389134,0.0032919527475321914,712
macro_logit,origin_2022_04,test,6,216285,0.010985560635940014,0.0036479644912962065,789
macro_logit,origin_2022_04,test,7,216284,0.01916257889379983,0.004577315011743818,990
macro_logit,origin_2022_04,test,8,216284,0.03677250742609037,0.0059412624142331375,1285
macro_logit,origin_2022_04,test,9,216284,0.132148685596394,0.024699006861348967,5342
regime_aware_logit,origin_2022_04,validation,0,171263,0.0005390024743559228,0.0004846347430560016,83
regime_aware_logit,origin_2022_04,validation,1,171263,0.0009174820980051305,0.000700676736948436,120
regime_aware_logit,origin_2022_04,validation,2,171262,0.0012482282878342316,0.0009342411042729853,160
regime_aware_logit,origin_2022_04,validation,3,171262,0.0016062454396497871,0.0011969964148497623,205
regime_aware_logit,origin_2022_04,validation,4,171262,0.0020264050262294667,0.002008618374186918,344
regime_aware_logit,origin_2022_04,validation,5,171262,0.002531703471451816,0.0022421786502551644,384
regime_aware_logit,origin_2022_04,validation,6,171262,0.0031793675699348526,0.0035793112307458746,613
regime_aware_logit,origin_2022_04,validation,7,171262,0.004127535805986166,0.003812871506814121,653
regime_aware_logit,origin_2022_04,validation,8,171262,0.005890576615370298,0.007088554378671275,1214
regime_aware_logit,origin_2022_04,validation,9,171262,0.030291267357932146,0.030508811061414676,5225
regime_aware_logit,origin_2022_04,test,0,216285,0.0002313893863409316,0.00044848232655986313,97
regime_aware_logit,origin_2022_04,test,1,216285,0.0005005812623238943,0.0010356705273134985,224
regime_aware_logit,origin_2022_04,test,2,216285,0.0008271612030689877,0.0014749057955937767,319
regime_aware_logit,origin_2022_04,test,3,216285,0.0012856031263714413,0.0023903645652726727,517
regime_aware_logit,origin_2022_04,test,4,216285,0.0019774152191766054,0.0033381880389301154,722
regime_aware_logit,origin_2022_04,test,5,216285,0.0031103657453279477,0.004142682109253994,896
regime_aware_logit,origin_2022_04,test,6,216285,0.005010209256044114,0.0044062232702221605,953
regime_aware_logit,origin_2022_04,test,7,216284,0.00826329747801498,0.0051876236799763276,1122
regime_aware_logit,origin_2022_04,test,8,216284,0.014524249296240035,0.007568752196186496,1637
regime_aware_logit,origin_2022_04,test,9,216284,0.04353663710247495,0.022752492093728618,4921
baseline_logit,origin_2023_04,validation,0,216285,0.00029829626076762687,0.00032827056892526066,71
baseline_logit,origin_2023_04,validation,1,216285,0.0005892491504249315,0.0007258940749474074,157
baseline_logit,origin_2023_04,validation,2,216285,0.0008912487166145122,0.0007536352497861618,163
baseline_logit,origin_2023_04,validation,3,216285,0.0012522737420033094,0.001502646970432531,325
baseline_logit,origin_2023_04,validation,4,216285,0.0017066352622078604,0.001891023418175093,409
baseline_logit,origin_2023_04,validation,5,216285,0.0023200542016240094,0.002556811614305199,553
baseline_logit,origin_2023_04,validation,6,216285,0.003210479249459508,0.003495388029683057,756
baseline_logit,origin_2023_04,validation,7,216284,0.004685788429941829,0.004988811007749071,1079
baseline_logit,origin_2023_04,validation,8,216284,0.007766670374113712,0.007009302583640029,1516
baseline_logit,origin_2023_04,validation,9,216284,0.02968804214242909,0.029493628747387694,6379
baseline_logit,origin_2023_04,test,0,257542,0.00036094052790799143,0.00034557470237864116,89
baseline_logit,origin_2023_04,test,1,257541,0.0007541073491615253,0.0005630171506672724,145
baseline_logit,origin_2023_04,test,2,257541,0.0012007421029334776,0.0009396562100791718,242
baseline_logit,origin_2023_04,test,3,257541,0.0017727732534172716,0.0015880966525718236,409
baseline_logit,origin_2023_04,test,4,257541,0.002566444955562883,0.001848249404949115,476
baseline_logit,origin_2023_04,test,5,257541,0.003743741011885754,0.0033082111197828695,852
baseline_logit,origin_2023_04,test,6,257541,0.0056783893255540185,0.0039644173160778284,1021
baseline_logit,origin_2023_04,test,7,257541,0.009196967194128531,0.005816549597928097,1498
baseline_logit,origin_2023_04,test,8,257541,0.016610562080066872,0.009485868269518251,2443
baseline_logit,origin_2023_04,test,9,257541,0.056836266073178064,0.035936025720176595,9255
macro_logit,origin_2023_04,validation,0,216285,0.00039062856085101365,0.0005317058510761264,115
macro_logit,origin_2023_04,validation,1,216285,0.0007308054104028381,0.001132764639249139,245
macro_logit,origin_2023_04,validation,2,216285,0.0010724770845046492,0.0016875881360242273,365
macro_logit,origin_2023_04,validation,3,216285,0.0014803014311973912,0.0023764939778532952,514
macro_logit,origin_2023_04,validation,4,216285,0.002002351681654759,0.0029498115911875534,638
macro_logit,origin_2023_04,validation,5,216285,0.0027092649015901813,0.0032595880435536445,705
macro_logit,origin_2023_04,validation,6,216285,0.0037160523180494857,0.003495388029683057,756
macro_logit,origin_2023_04,validation,7,216284,0.005259070178894308,0.004114959960052523,890
macro_logit,origin_2023_04,validation,8,216284,0.008035721077037407,0.005673096484252187,1227
macro_logit,origin_2023_04,validation,9,216284,0.027239699355962974,0.027523996227182778,5953
macro_logit,origin_2023_04,test,0,257542,0.0009861405292508666,0.000508654899006764,131
macro_logit,origin_2023_04,test,1,257541,0.001986576233450097,0.0011105027937299303,286
macro_logit,origin_2023_04,test,2,257541,0.0029518099734072273,0.0013357096539968394,344
macro_logit,origin_2023_04,test,3,257541,0.004040674948279565,0.001790006251431811,461
macro_logit,origin_2023_04,test,4,257541,0.00533917154225384,0.002345257648296776,604
macro_logit,origin_2023_04,test,5,257541,0.006972810696536166,0.0028112028764352083,724
macro_logit,origin_2023_04,test,6,257541,0.009196056185791173,0.004123615269025126,1062
macro_logit,origin_2023_04,test,7,257541,0.012553318191527761,0.005067154356005452,1305
macro_logit,origin_2023_04,test,8,257541,0.018582933207263425,0.008049203816091418,2073
macro_logit,origin_2023_04,test,9,257541,0.054831221860882406,0.03665435794689001,9440
regime_aware_logit,origin_2023_04,validation,0,216285,0.0003448336994017815,0.00036063527290380745,78
regime_aware_logit,origin_2023_04,validation,1,216285,0.0006331550339890694,0.0005686940841944656,123
regime_aware_logit,origin_2023_04,validation,2,216285,0.0009094665274623949,0.0008507293617218023,184
regime_aware_logit,origin_2023_04,validation,3,216285,0.0012345011889927774,0.0010819058187114224,234
regime_aware_logit,origin_2023_04,validation,4,216285,0.0016371079686712078,0.0019187645930138475,415
