model,fold,split,n,event_count,event_rate,pred_mean,brier,log_loss,roc_auc,pr_auc
baseline_logit,origin_2021_04,validation,1449486,33563,0.023155104637092045,0.023155772093174713,0.016804692338279227,0.07539172067493533,0.851190888844185,0.3994602261748483
baseline_logit,origin_2021_04,test,1712622,9001,0.005255683974630713,0.01589599492838663,0.005337871343277925,0.03286268121030999,0.7815365838322227,0.1437205456008009
macro_logit,origin_2021_04,validation,1449486,33563,0.023155104637092045,0.023155512943817735,0.02262108883230613,0.11005004865350422,0.5038573144836008,0.024217821758013094
macro_logit,origin_2021_04,test,1712622,9001,0.005255683974630713,0.31727908696018686,0.12012092810385351,0.40523601812895094,0.6255965271174277,0.01632234444359869
regime_aware_logit,origin_2021_04,validation,1449486,33563,0.023155104637092045,0.023155148770334723,0.01826772309844568,0.08229606735151229,0.8329607438631591,0.32789310044367814
regime_aware_logit,origin_2021_04,test,1712622,9001,0.005255683974630713,0.017578787543305663,0.005722014527433958,0.035870689584877956,0.7684670079180694,0.09460527529309919
baseline_logit,origin_2022_04,validation,1712622,9001,0.005255683974630713,0.005247753375833703,0.004807373078287292,0.026663393056122715,0.8097838937150932,0.14233929540822823
baseline_logit,origin_2022_04,test,2162847,11408,0.0052745293587572305,0.006668348481183954,0.004925454842665705,0.027530315988235014,0.8088302498259023,0.11376710373859966
macro_logit,origin_2022_04,validation,1712622,9001,0.005255683974630713,0.005269077158453365,0.004769019470261128,0.026244801110567383,0.8207156231820549,0.15030139079137012
macro_logit,origin_2022_04,test,2162847,11408,0.0052745293587572305,0.021387681137034556,0.006749078906837985,0.03987278085283768,0.7642483587342707,0.10165232738416898
regime_aware_logit,origin_2022_04,validation,1712622,9001,0.005255683974630713,0.005235776150770713,0.004761106358054813,0.02561120945170998,0.8410136149246763,0.14918223947365133
regime_aware_logit,origin_2022_04,test,2162847,11408,0.0052745293587572305,0.007926671237117341,0.0051627188405062845,0.03043034508116424,0.7692893458257981,0.05690067685565047
baseline_logit,origin_2023_04,validation,2162847,11408,0.0052745293587572305,0.005240861538558042,0.004946076559594422,0.026985674242476825,0.8335274864814102,0.10756908575997727
baseline_logit,origin_2023_04,test,2575411,16430,0.006379564271489094,0.0098720896943175,0.005943930298113811,0.0319751073103824,0.84297971354969,0.13004353627689075
macro_logit,origin_2023_04,validation,2162847,11408,0.0052745293587572305,0.005263625759732774,0.004765598294861387,0.027009582111690137,0.7930327079221063,0.1588572869504062
macro_logit,origin_2023_04,test,2575411,16430,0.006379564271489094,0.011744067159693772,0.005687464754490784,0.03186599829435982,0.8332397964333215,0.1916476149560086
regime_aware_logit,origin_2023_04,validation,2162847,11408,0.0052745293587572305,0.0052732646131719236,0.004928058842732742,0.026557725457326903,0.8456745744915684,0.11200568179005733
regime_aware_logit,origin_2023_04,test,2575411,16430,0.006379564271489094,0.019295672955232337,0.006826716858493444,0.03972728338829531,0.804810123426186,0.11012393697665084
baseline_logit,pooled,test,6450880,36839,0.005710693734808274,0.010397207284193563,0.005441555973566072,0.030720499413616265,0.8129882482697967,0.11816800273339423
macro_logit,pooled,test,6450880,36839,0.005710693734808274,0.0960928162049108,0.03642394967637338,0.13367523296395734,0.6979830198574599,0.062321348415839035
regime_aware_logit,pooled,test,6450880,36839,0.005710693734808274,0.015028071172690333,0.005975529014845254,0.03558633788635452,0.7801945673787389,0.08343800316271079
