fold,model,feature,standardized_coefficient
origin_2021_04,baseline_logit,credit_score,-0.3823411464691162
origin_2021_04,baseline_logit,mi_percent,0.11494714766740799
origin_2021_04,baseline_logit,number_of_units,-0.01029068324714899
origin_2021_04,baseline_logit,original_cltv,0.039801225066185
origin_2021_04,baseline_logit,original_dti,0.34217119216918945
origin_2021_04,baseline_logit,original_upb,-0.26413172483444214
origin_2021_04,baseline_logit,original_ltv,0.059047162532806396
origin_2021_04,baseline_logit,original_interest_rate,0.28721022605895996
origin_2021_04,baseline_logit,original_loan_term,-0.14298264682292938
origin_2021_04,baseline_logit,number_of_borrowers,-0.2710898220539093
origin_2021_04,baseline_logit,loan_age_months,0.4273296296596527
origin_2021_04,baseline_logit,remaining_months_to_legal_maturity,-0.08357978612184525
origin_2021_04,baseline_logit,current_actual_upb,0.5886285305023193
origin_2021_04,baseline_logit,current_interest_rate,0.27073025703430176
origin_2021_04,baseline_logit,credit_score_missing,-0.043216586112976074
origin_2021_04,baseline_logit,mi_percent_missing,0.0
origin_2021_04,baseline_logit,number_of_units_missing,0.0
origin_2021_04,baseline_logit,original_cltv_missing,0.21112264692783356
origin_2021_04,baseline_logit,original_dti_missing,-0.0911579579114914
origin_2021_04,baseline_logit,original_ltv_missing,-0.27217280864715576
origin_2021_04,baseline_logit,number_of_borrowers_missing,0.0
origin_2021_04,baseline_logit,current_delinquency_months,0.07318083196878433
origin_2021_04,baseline_logit,current_30_dpd,0.06839744746685028
origin_2021_04,baseline_logit,current_60_dpd,0.05036379396915436
origin_2021_04,baseline_logit,recent_30_dpd_3m,0.07711753994226456
origin_2021_04,baseline_logit,recent_60_dpd_3m,0.03702583163976669
origin_2021_04,baseline_logit,ever_30_dpd,0.19623695313930511
origin_2021_04,baseline_logit,ever_60_dpd,0.005751452408730984
origin_2021_04,baseline_logit,months_since_30_dpd,0.1600387543439865
origin_2021_04,baseline_logit,months_since_60_dpd,0.0703708827495575
origin_2021_04,baseline_logit,delinquent_30_months_3m,-9.406983735971153e-05
origin_2021_04,baseline_logit,delinquent_30_months_6m,0.06329867988824844
origin_2021_04,baseline_logit,delinquent_30_months_12m,-0.011351970955729485
origin_2021_04,baseline_logit,delinquent_60_months_3m,-0.012034386396408081
origin_2021_04,baseline_logit,delinquent_60_months_6m,0.043176230043172836
origin_2021_04,baseline_logit,delinquent_60_months_12m,0.005957921966910362
origin_2021_04,baseline_logit,cured_from_30_dpd,0.008556388318538666
origin_2021_04,baseline_logit,cumulative_30_dpd_cures,0.032589785754680634
origin_2021_04,baseline_logit,months_since_30_dpd_cure,-0.16535069048404694
origin_2021_04,macro_logit,credit_score,-0.5296353697776794
origin_2021_04,macro_logit,mi_percent,0.05183536931872368
origin_2021_04,macro_logit,number_of_units,-0.02665041759610176
origin_2021_04,macro_logit,original_cltv,0.09707798808813095
origin_2021_04,macro_logit,original_dti,0.3543951213359833
origin_2021_04,macro_logit,original_upb,-0.6860048770904541
origin_2021_04,macro_logit,original_ltv,0.10814458876848221
origin_2021_04,macro_logit,original_interest_rate,0.04907383397221565
origin_2021_04,macro_logit,original_loan_term,-0.28971871733665466
origin_2021_04,macro_logit,number_of_borrowers,-0.1857198178768158
origin_2021_04,macro_logit,loan_age_months,0.024150079116225243
origin_2021_04,macro_logit,remaining_months_to_legal_maturity,0.23440100252628326
origin_2021_04,macro_logit,current_actual_upb,1.1050468683242798
origin_2021_04,macro_logit,current_interest_rate,0.20753653347492218
origin_2021_04,macro_logit,credit_score_missing,-1.2122057676315308
origin_2021_04,macro_logit,mi_percent_missing,0.0
origin_2021_04,macro_logit,number_of_units_missing,0.0
origin_2021_04,macro_logit,original_cltv_missing,1.180079460144043
origin_2021_04,macro_logit,original_dti_missing,0.05842774361371994
origin_2021_04,macro_logit,original_ltv_missing,-4.105340003967285
origin_2021_04,macro_logit,number_of_borrowers_missing,0.0
origin_2021_04,macro_logit,current_delinquency_months,0.045205384492874146
origin_2021_04,macro_logit,current_30_dpd,0.024554729461669922
origin_2021_04,macro_logit,current_60_dpd,0.07126229256391525
origin_2021_04,macro_logit,recent_30_dpd_3m,0.12585154175758362
origin_2021_04,macro_logit,recent_60_dpd_3m,-0.3033309280872345
origin_2021_04,macro_logit,ever_30_dpd,0.17200736701488495
origin_2021_04,macro_logit,ever_60_dpd,0.05734472721815109
origin_2021_04,macro_logit,months_since_30_dpd,0.18423530459403992
origin_2021_04,macro_logit,months_since_60_dpd,0.005852328147739172
origin_2021_04,macro_logit,delinquent_30_months_3m,-0.0014419982908293605
origin_2021_04,macro_logit,delinquent_30_months_6m,-0.11022766679525375
origin_2021_04,macro_logit,delinquent_30_months_12m,-0.024104025214910507
origin_2021_04,macro_logit,delinquent_60_months_3m,0.21297413110733032
origin_2021_04,macro_logit,delinquent_60_months_6m,-0.13168737292289734
origin_2021_04,macro_logit,delinquent_60_months_12m,-0.018609805032610893
origin_2021_04,macro_logit,cured_from_30_dpd,0.08156197518110275
origin_2021_04,macro_logit,cumulative_30_dpd_cures,0.037547241896390915
origin_2021_04,macro_logit,months_since_30_dpd_cure,-0.2218489795923233
origin_2021_04,macro_logit,inflation,0.3205121159553528
origin_2021_04,macro_logit,policy_rate,0.21733395755290985
origin_2021_04,macro_logit,unemployment,-1.977828025817871
origin_2021_04,macro_logit,unemployment_change,0.3355288803577423
origin_2021_04,macro_logit,house_price_growth,-0.22933711111545563
origin_2021_04,macro_logit,mortgage_rate,-0.5159727334976196
origin_2021_04,macro_logit,mortgage_spread,0.3556324243545532
origin_2021_04,macro_logit,long_rate,-0.5247765779495239
origin_2021_04,macro_logit,long_rate_change,0.2735160291194916
origin_2021_04,macro_logit,yield_curve,1.3033770322799683
origin_2021_04,macro_logit,initial_claims,1.9763550758361816
origin_2021_04,macro_logit,initial_claims_change,-2.2747035026550293
origin_2021_04,macro_logit,payroll_growth,0.2203318029642105
origin_2021_04,macro_logit,real_income_growth,-0.08050987124443054
origin_2021_04,macro_logit,financial_conditions,0.13335126638412476
origin_2021_04,macro_logit,consumer_sentiment,-0.041945572942495346
origin_2021_04,macro_logit,consumer_sentiment_change,-0.15924836695194244
origin_2021_04,regime_aware_logit,credit_score,-0.41397300362586975
origin_2021_04,regime_aware_logit,mi_percent,0.12367478013038635
origin_2021_04,regime_aware_logit,number_of_units,-0.0077056908048689365
origin_2021_04,regime_aware_logit,original_cltv,0.039416249841451645
origin_2021_04,regime_aware_logit,original_dti,0.3972329795360565
origin_2021_04,regime_aware_logit,original_upb,-0.4098402261734009
origin_2021_04,regime_aware_logit,original_ltv,0.08115503191947937
origin_2021_04,regime_aware_logit,original_interest_rate,0.2986248731613159
origin_2021_04,regime_aware_logit,original_loan_term,-0.2662104368209839
origin_2021_04,regime_aware_logit,number_of_borrowers,-0.2554372251033783
origin_2021_04,regime_aware_logit,loan_age_months,0.4679775834083557
origin_2021_04,regime_aware_logit,remaining_months_to_legal_maturity,0.07592793554067612
origin_2021_04,regime_aware_logit,current_actual_upb,0.7089713215827942
origin_2021_04,regime_aware_logit,current_interest_rate,0.2893677353858948
origin_2021_04,regime_aware_logit,credit_score_missing,-0.29443132877349854
origin_2021_04,regime_aware_logit,mi_percent_missing,0.0
origin_2021_04,regime_aware_logit,number_of_units_missing,0.0
origin_2021_04,regime_aware_logit,original_cltv_missing,0.5179962515830994
origin_2021_04,regime_aware_logit,original_dti_missing,-0.1379949301481247
origin_2021_04,regime_aware_logit,original_ltv_missing,-0.8518660664558411
origin_2021_04,regime_aware_logit,number_of_borrowers_missing,0.0
