cohort,loans,loan_months,at_risk_loan_months,usable_modeling_rows,event_count,event_rate,first_month,last_month
2015,46574,2713418,2713418,2713418,21294,0.00784766666986067,2015-01-01,2024-09-01
2016,47303,2601784,2601784,2601784,24896,0.009568818933470264,2016-01-01,2024-09-01
2017,47144,2022440,2022440,2022440,30192,0.014928502205257016,2017-01-01,2024-09-01
2018,44005,1311179,1311179,1311179,28406,0.021664471441351637,2018-01-01,2024-09-01
2019,39515,1179584,1179584,1179584,25690,0.021778864413216862,2019-01-01,2024-09-01
2020,42751,1726610,1726610,1726610,7606,0.004405163876034542,2020-01-01,2024-09-01
2021,47279,1685229,1685229,1685229,8233,0.004885389463390436,2021-01-01,2024-09-01
2022,47808,1182868,1182868,1182868,13181,0.011143255206836266,2022-01-01,2024-09-01
2023,46159,629729,629729,629729,6655,0.01056803799729725,2023-01-01,2024-09-01
2024,30180,130973,130973,130973,910,0.006947996915394776,2024-01-01,2024-09-01
