model,time_bucket,n,event_rate,pred_mean,brier
baseline_logit,2023,1898867,0.006086260912428306,0.008542963917750886,0.005423159415902589
baseline_logit,2024,2091238,0.007378404562273639,0.011801649725517872,0.006566340530985902
baseline_plus_p_stress_logit,2023,1898867,0.006086260912428306,0.011090493399388624,0.005443526262714983
baseline_plus_p_stress_logit,2024,2091238,0.007378404562273639,0.014845246957852904,0.0066168972797511875
macro_logit,2023,1898867,0.006086260912428306,0.012155533242607736,0.005705034452249134
macro_logit,2024,2091238,0.007378404562273639,0.009755013523122122,0.006651438755133274
regime_aware_dynamic_stress_robustness_logit,2023,1898867,0.006086260912428306,0.002184052067365406,0.005523169461962905
regime_aware_dynamic_stress_robustness_logit,2024,2091238,0.007378404562273639,0.0005922386058625577,0.007007238682943107
regime_aware_logit,2023,1898867,0.006086260912428306,0.010100454813612627,0.005405471583828226
regime_aware_logit,2024,2091238,0.007378404562273639,0.0122292760955123,0.006514936221927109
regime_aware_with_raw_macro_logit,2023,1898867,0.006086260912428306,0.012302451562038595,0.005472438899543082
regime_aware_with_raw_macro_logit,2024,2091238,0.007378404562273639,0.011905942763561288,0.006524216045441984
