model,split,n,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss
regime_aware_logit,test,3990105,0.006763481161523318,0.011216182835786808,0.8556178088155363,0.20767124104893347,0.005986948665471098,0.03211331018128652
baseline_logit,test,3990105,0.006763481161523318,0.010250860725294303,0.8363517999879673,0.19032411752972755,0.006022307505675815,0.03247983808555545
regime_aware_with_raw_macro_logit,test,3990105,0.006763481161523318,0.012094638918834949,0.8372701488301587,0.2017999873197959,0.0060236816199815985,0.03314129956177763
baseline_plus_p_stress_logit,test,3990105,0.006763481161523318,0.013058382295068244,0.8416861779720425,0.19309549976462165,0.006058497061459567,0.03361988538191309
macro_logit,test,3990105,0.006763481161523318,0.010897406437138291,0.8256801027092974,0.1492151547927601,0.006201050632664142,0.033755764434496065
regime_aware_dynamic_stress_robustness_logit,test,3990105,0.006763481161523318,0.0013497730697935896,0.7756597537194848,0.15828236941609586,0.006300979055831787,0.04138291473051302
macro_logit,train,8118858,0.015304492331310635,0.0153515531919801,0.9033603131027902,0.2659322655635245,0.012829673259862479,0.0557422230266909
regime_aware_with_raw_macro_logit,train,8118858,0.015304492331310635,0.009024732748317735,0.9036522258043858,0.28539089419981045,0.013159383205441728,0.05931258269842182
regime_aware_dynamic_stress_robustness_logit,train,8118858,0.015304492331310635,0.004917388636664208,0.8341573235048879,0.242278852787463,0.013668079630413861,0.07119442666377415
baseline_logit,train,8118858,0.015304492331310635,0.005539313112201493,0.8242979848769268,0.22110128043436703,0.013671351883509368,0.07050641140200019
regime_aware_logit,train,8118858,0.015304492331310635,0.004307120770491067,0.8318882312250072,0.23836918805313037,0.013765180216474276,0.07321831872795682
baseline_plus_p_stress_logit,train,8118858,0.015304492331310635,0.004324088816780562,0.8313283428110183,0.2324604220262196,0.01377007180535563,0.0730339299371719
baseline_logit,val,3074851,0.005145289966895957,0.005152005160446055,0.8141481720143319,0.15719418907030872,0.0046461152542617715,0.02595015348216698
baseline_plus_p_stress_logit,val,3074851,0.005145289966895957,0.005142505947505933,0.8027419971036694,0.15056369439089518,0.004662220823208724,0.026303232114612062
regime_aware_dynamic_stress_robustness_logit,val,3074851,0.005145289966895957,0.0051459336314256705,0.8050628127213492,0.15402976387769413,0.004675766755555246,0.02623737276229208
regime_aware_logit,val,3074851,0.005145289966895957,0.005110814531461368,0.7985427508138395,0.1533175871695882,0.004676373544470853,0.026322947389043675
regime_aware_with_raw_macro_logit,val,3074851,0.005145289966895957,0.0051424410335936125,0.7862568694135135,0.1508975543573063,0.004692541678092873,0.026646452166893382
macro_logit,val,3074851,0.005145289966895957,0.00514888370570759,0.7958352559929555,0.11842688988561426,0.004804465407717935,0.027074729332419264
