model,split,n,reliability,resolution,uncertainty,grouped_brier
baseline_logit,test,3990105,3.160788969945824e-05,0.00011894705903905546,0.006717736484101037,0.00663039731476144
baseline_logit,train,8118858,0.00027715525518250665,0.0004959613724063069,0.015070264845791489,0.014851458728567688
baseline_logit,val,3074851,3.1980856478120375e-07,5.935325263441979e-05,0.005118815958052517,0.0050597825139828785
baseline_plus_p_stress_logit,test,3990105,8.606337004837914e-05,0.00012347541197347826,0.006717736484101037,0.006680324442175938
baseline_plus_p_stress_logit,train,8118858,0.0003727763023547625,0.0005297193095030524,0.015070264845791489,0.014913321838643199
baseline_plus_p_stress_logit,val,3074851,3.026510051147977e-07,5.5520796932699435e-05,0.005118815958052517,0.005063597812124933
macro_logit,test,3990105,4.4719162509812265e-05,0.00011028004916013889,0.006717736484101037,0.00665217559745071
macro_logit,train,8118858,2.544420756742306e-05,0.0009659611764784788,0.015070264845791489,0.014129747876880433
macro_logit,val,3074851,7.102135183492019e-07,5.226000369144137e-05,0.005118815958052517,0.005067266167879425
regime_aware_dynamic_stress_robustness_logit,test,3990105,6.530556328907487e-05,7.860272796046974e-05,0.006717736484101037,0.006704439319429642
regime_aware_dynamic_stress_robustness_logit,train,8118858,0.00034858315467351485,0.0005454393319979609,0.015070264845791489,0.014873408668467043
regime_aware_dynamic_stress_robustness_logit,val,3074851,5.88652280582358e-07,5.7980560472025064e-05,0.005118815958052517,0.005061424049861075
regime_aware_logit,test,3990105,3.348788354866844e-05,0.00013498520176812736,0.006717736484101037,0.006616239165881578
regime_aware_logit,train,8118858,0.0003779604835205049,0.000530760337416507,0.015070264845791489,0.014917464991895486
regime_aware_logit,val,3074851,1.0304016888117889e-06,5.941256483920864e-05,0.005118815958052517,0.00506043379490212
regime_aware_with_raw_macro_logit,test,3990105,4.546692164187072e-05,0.00012179310745201219,0.006717736484101037,0.006641410298290896
regime_aware_with_raw_macro_logit,train,8118858,0.0003392041149338857,0.0009635511684292367,0.015070264845791489,0.014445917792296138
regime_aware_with_raw_macro_logit,val,3074851,6.108328984814574e-07,5.164259258144926e-05,0.005118815958052517,0.00506778419836955
