model,split,bin,n,mean_pred,observed_rate,event_count
baseline_logit,test,0,399011,0.000686842771023703,0.0004235472205026929,169
baseline_logit,test,1,399010,0.0012805823640806794,0.000746848449913536,298
baseline_logit,test,2,399011,0.0018984122036544288,0.0014410630283375645,575
baseline_logit,test,3,399010,0.0026447654813748058,0.0019598506303100172,782
baseline_logit,test,4,399011,0.0036316235334523986,0.002588901057865573,1033
baseline_logit,test,5,399010,0.005029168172988439,0.0032881381419012055,1312
baseline_logit,test,6,399010,0.007105936075816825,0.004050023808927094,1616
baseline_logit,test,7,399011,0.010357030792792559,0.0057592397202082144,2298
baseline_logit,test,8,399010,0.016221733907498082,0.008673968070975665,3461
baseline_logit,test,9,399011,0.05365246440240496,0.038703193646290455,15443
baseline_logit,train,0,811886,0.0006316169127838341,0.000819080511303311,665
baseline_logit,train,1,811886,0.0010673563381179416,0.001894354626142094,1538
baseline_logit,train,2,811886,0.0014398780798539736,0.003110042542918587,2525
baseline_logit,train,3,811885,0.0018247383404048066,0.0044057963874194,3577
baseline_logit,train,4,811886,0.002255787132156438,0.0064984492896786004,5276
baseline_logit,train,5,811886,0.0027653623127198842,0.00807502531143535,6556
baseline_logit,train,6,811885,0.003411502472439526,0.010954753444145414,8894
baseline_logit,train,7,811886,0.004313178527465946,0.015311262911295429,12431
baseline_logit,train,8,811886,0.005833922569886666,0.022641109712447312,18382
baseline_logit,train,9,811886,0.0318497812401197,0.07933502979482342,64411
baseline_logit,val,0,307486,0.0005028060347624754,0.0004032703927983713,124
baseline_logit,val,1,307485,0.0008793568565942289,0.0008943525700440672,275
baseline_logit,val,2,307485,0.001232134093975326,0.0012163194952599314,374
baseline_logit,val,3,307485,0.0016280162319445895,0.0016651218758638633,512
baseline_logit,val,4,307485,0.002096724331682195,0.0022375075206920664,688
baseline_logit,val,5,307485,0.00269663668500055,0.0033595134722018962,1033
baseline_logit,val,6,307485,0.0035293311641309585,0.0033465047075467097,1029
baseline_logit,val,7,307485,0.0048098069890915385,0.004871782363367319,1498
baseline_logit,val,8,307485,0.007178175856092672,0.005727108639445827,1761
baseline_logit,val,9,307485,0.026967078481270335,0.027731434053693677,8527
baseline_plus_p_stress_logit,test,0,399011,0.0011382652568931136,0.00038595427193736513,154
baseline_plus_p_stress_logit,test,1,399010,0.00203086304617201,0.0007117616099847121,284
baseline_plus_p_stress_logit,test,2,399011,0.0029156474679749704,0.0012982098237893191,518
baseline_plus_p_stress_logit,test,3,399010,0.003943509485840069,0.0018871707476003107,753
baseline_plus_p_stress_logit,test,4,399011,0.005260732456863085,0.0024936655881667423,995
baseline_plus_p_stress_logit,test,5,399010,0.0070707713016923595,0.0030600736823638507,1221
baseline_plus_p_stress_logit,test,6,399010,0.009753896498555268,0.004110172677376507,1640
baseline_plus_p_stress_logit,test,7,399011,0.013951908143889124,0.005674029036793472,2264
baseline_plus_p_stress_logit,test,8,399010,0.0214200198914207,0.008694017693792135,3469
