model,split,stress_bin,stress_bin_label,stress_bin_count,p_stress_min,p_stress_mean,p_stress_max,hard_stress_share,n,event_count,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss
baseline_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.013040047526064828,0.8382936334569572,0.20319752680634298,0.0066643670809097945,0.03579229171839149
baseline_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.008783964294529076,0.8384582200362213,0.18460280594652867,0.005546555525781571,0.030075226309056523
baseline_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.011433140704450985,0.8345503773185042,0.19490889273958575,0.006520187340376672,0.034841125593797324
baseline_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.010391531934271586,0.8386641093519659,0.1928660390768887,0.006106329666092997,0.0327483648157344
baseline_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.00724852570451632,0.8338124025172837,0.1838476467205732,0.0049382280725056,0.02743205750585173
baseline_logit,test,5,q6_of_10,10,0.9999999069530476,0.9999999383223546,0.9999999744544452,1.0,442386,2956,0.006681947439566352,0.010317265145028717,0.8361401450464322,0.18531320346339328,0.005984191572105754,0.03231230866313413
baseline_logit,test,6,q7_of_10,10,0.9999999754984992,0.99999998313024,0.999999991380368,1.0,433807,2862,0.00659740391464407,0.009533322212595216,0.8350423267786534,0.18833019605003815,0.005874785293398687,0.03170593655488931
baseline_logit,test,7,q8_of_10,10,0.999999993083886,0.9999999962196009,0.9999999993852522,1.0,463709,3448,0.007435697819106379,0.011329060146258155,0.8354301655666562,0.2016364041584178,0.0065622536294779165,0.03513908381369302
baseline_logit,test,8,q9_of_10,10,0.9999999997764072,0.9999999998484941,0.9999999999215944,1.0,425574,2578,0.006057700893381645,0.00856277344848115,0.8345112357150638,0.17637332542008619,0.005427336598525169,0.029639433458259232
baseline_logit,test,9,q10_of_10,10,0.9999999999985208,0.9999999999985208,0.9999999999985208,1.0,216233,1379,0.006377379955880925,0.009255460928626266,0.8391128554484674,0.1850242635103804,0.005699388240932359,0.030773091469684776
baseline_plus_p_stress_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.016233308484709184,0.8430532804524451,0.20555474893869718,0.0067331238581510916,0.03735771238444907
baseline_plus_p_stress_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.011345684415148818,0.8440452874271637,0.1876678038586365,0.0055680513738525705,0.03100048744492766
baseline_plus_p_stress_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.01440873555236255,0.8395589528724569,0.1982835202841231,0.006564596191965875,0.03608944973269895
baseline_plus_p_stress_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.013237369623574885,0.8436009954834319,0.19506052073589836,0.006144087911061575,0.033933056406451965
baseline_plus_p_stress_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.009596392344526907,0.840258259333198,0.18753649068496586,0.004944592800531601,0.028165724256564266
baseline_plus_p_stress_logit,test,5,q6_of_10,10,0.9999999069530476,0.9999999383223546,0.9999999744544452,1.0,442386,2956,0.006681947439566352,0.01312120786079566,0.8416256519047601,0.188678453486816,0.006018882329133447,0.03345670422225363
baseline_plus_p_stress_logit,test,6,q7_of_10,10,0.9999999754984992,0.99999998313024,0.999999991380368,1.0,433807,2862,0.00659740391464407,0.012228640025652628,0.8404566041578994,0.1905095508767844,0.005904878811293445,0.03272606507721176
baseline_plus_p_stress_logit,test,7,q8_of_10,10,0.999999993083886,0.9999999962196009,0.9999999993852522,1.0,463709,3448,0.007435697819106379,0.014351430470279257,0.8405560873609235,0.20455667840113115,0.006603614795457868,0.03639213792421443
baseline_plus_p_stress_logit,test,8,q9_of_10,10,0.9999999997764072,0.9999999998484941,0.9999999999215944,1.0,425574,2578,0.006057700893381645,0.01113368584251175,0.8405134676347401,0.1785573307166104,0.0054509219521387525,0.030596430107692876
baseline_plus_p_stress_logit,test,9,q10_of_10,10,0.9999999999985208,0.9999999999985208,0.9999999999985208,1.0,216233,1379,0.006377379955880925,0.011919258522822548,0.844365446726989,0.18765712487908953,0.005728298147453638,0.03179712955076963
macro_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.009559119478806955,0.8550483306818653,0.18819532401437844,0.006646092468450855,0.03418027742046852
macro_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.011907078078896297,0.8053544324402089,0.1252283697873366,0.0058909574133007014,0.033358471467074165
macro_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.00838215169444944,0.828718214641052,0.16026232451780342,0.006650981530019899,0.03481495715135252
macro_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.008970289559703694,0.8116506541914239,0.13791591032104944,0.006319867373687835,0.03427086506245314
macro_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.02501292177597627,0.8635773909831795,0.18085415117642037,0.005725676557215586,0.0387855622497136
macro_logit,test,5,q6_of_10,10,0.9999999069530476,0.9999999383223546,0.9999999744544452,1.0,442386,2956,0.006681947439566352,0.008301964687942016,0.8392135253822633,0.1602479380176956,0.006065142364725124,0.03203078931359911
macro_logit,test,6,q7_of_10,10,0.9999999754984992,0.99999998313024,0.999999991380368,1.0,433807,2862,0.00659740391464407,0.01470001690658334,0.8619292897001364,0.18225198511160445,0.005974681606387142,0.03367377736916164
macro_logit,test,7,q8_of_10,10,0.999999993083886,0.9999999962196009,0.9999999993852522,1.0,463709,3448,0.007435697819106379,0.007556901302959424,0.8513908009553602,0.1860980221627362,0.006699107605022073,0.03420782492720559
macro_logit,test,8,q9_of_10,10,0.9999999997764072,0.9999999998484941,0.9999999999215944,1.0,425574,2578,0.006057700893381645,0.01493728015016129,0.8467642021253234,0.15756912472001744,0.0056426076489747064,0.03292734874135218
macro_logit,test,9,q10_of_10,10,0.9999999999985208,0.9999999999985208,0.9999999999985208,1.0,216233,1379,0.006377379955880925,0.004889162796635701,0.8648498294198913,0.18487561843991934,0.0058279778356992995,0.029924577903858503
regime_aware_dynamic_stress_robustness_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.00032445822400145136,0.8568442437624023,0.22213158884823947,0.007198015541377129,0.05475787852605378
regime_aware_dynamic_stress_robustness_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.002413027875553711,0.7982021887342208,0.17575002897300487,0.005690077026583852,0.033417963922091225
regime_aware_dynamic_stress_robustness_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.0007649467046487218,0.8329017703666844,0.19839720052605642,0.006901141744569184,0.04725121264319987
regime_aware_dynamic_stress_robustness_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.001054995081968721,0.8382394478394043,0.19359316660850584,0.006375790895303155,0.04127513880244061
regime_aware_dynamic_stress_robustness_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.003050121242468788,0.8561496087900983,0.20527816314952377,0.004965138480337565,0.027464417839642763
regime_aware_dynamic_stress_robustness_logit,test,5,q6_of_10,10,0.9999999069530476,0.9999999383223546,0.9999999744544452,1.0,442386,2956,0.006681947439566352,0.0014649743313530541,0.7479152412260476,0.15091424579965174,0.006250070621016539,0.04174165089581446
regime_aware_dynamic_stress_robustness_logit,test,6,q7_of_10,10,0.9999999754984992,0.99999998313024,0.999999991380368,1.0,433807,2862,0.00659740391464407,0.0016396479899485963,0.8027036567508395,0.1800225721386515,0.006060781012014498,0.037654298685423866
regime_aware_dynamic_stress_robustness_logit,test,7,q8_of_10,10,0.999999993083886,0.9999999962196009,0.9999999993852522,1.0,463709,3448,0.007435697819106379,0.0005648352080402455,0.8554439561884616,0.22014222790751434,0.007056294861371281,0.049660840342113835
regime_aware_dynamic_stress_robustness_logit,test,8,q9_of_10,10,0.9999999997764072,0.9999999998484941,0.9999999999215944,1.0,425574,2578,0.006057700893381645,0.0018815220705168231,0.8539509707915961,0.191047069225237,0.005531853044404554,0.032300739652618565
regime_aware_dynamic_stress_robustness_logit,test,9,q10_of_10,10,0.9999999999985208,0.9999999999985208,0.9999999999985208,1.0,216233,1379,0.006377379955880925,0.0016270354999467257,0.8575378671060454,0.20251810414341628,0.005807256036306059,0.03494512228635636
regime_aware_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.013041019491452548,0.8565124426613251,0.2222164908248784,0.006593682848442876,0.03491427416172487
regime_aware_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.010299166378288486,0.8574551503850654,0.20055510098125462,0.005531087059608365,0.029977675527237815
regime_aware_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.0120618785080783,0.8531243484697855,0.21165838819911872,0.006480222100765895,0.03429487375046216
regime_aware_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.011352966476768358,0.8572304009330315,0.20661538121338172,0.006088872143571604,0.03246800949315255
regime_aware_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.009063262198882142,0.8554029757217881,0.20438475565150863,0.004884165895019991,0.027333629357089693
regime_aware_logit,test,5,q6_of_10,10,0.9999999069530476,0.9999999383223546,0.9999999744544452,1.0,442386,2956,0.006681947439566352,0.011240008517775511,0.8556476899108781,0.2050184395334094,0.005943485310058156,0.031900414415207155
regime_aware_logit,test,6,q7_of_10,10,0.9999999754984992,0.99999998313024,0.999999991380368,1.0,433807,2862,0.00659740391464407,0.010775663546768085,0.8539605725992182,0.20342372082742163,0.005859664367272198,0.031531902635707244
regime_aware_logit,test,7,q8_of_10,10,0.999999993083886,0.9999999962196009,0.9999999993852522,1.0,463709,3448,0.007435697819106379,0.01180162189063445,0.8553326775283575,0.22021611624560522,0.006488628672247517,0.03442399915176828
regime_aware_logit,test,8,q9_of_10,10,0.9999999997764072,0.9999999998484941,0.9999999999215944,1.0,425574,2578,0.006057700893381645,0.010108230838035854,0.854296937452218,0.19082404209139578,0.005411983419230832,0.02962086588652297
regime_aware_logit,test,9,q10_of_10,10,0.9999999999985208,0.9999999999985208,0.9999999999985208,1.0,216233,1379,0.006377379955880925,0.01065914239998805,0.8568738210495883,0.20181229137978607,0.005706854950133597,0.030737110175655592
regime_aware_with_raw_macro_logit,test,0,q1_of_10,10,0.9999029286634964,0.9999179410931595,0.9999330869848196,1.0,479281,3577,0.007463262678887751,0.012801960325035283,0.8579821834831866,0.2237485227242586,0.006576375171866417,0.03492766288775278
regime_aware_with_raw_macro_logit,test,1,q2_of_10,10,0.999936355129158,0.9999468614101067,0.9999584802017364,1.0,421317,2633,0.006249451125874342,0.012071631489597555,0.8268605496687624,0.195709129311184,0.005602441675603432,0.03165291052508032
regime_aware_with_raw_macro_logit,test,2,q3_of_10,10,0.999999365530501,0.9999995774246405,0.99999977885505,1.0,458208,3356,0.007324184649766045,0.010782149744586347,0.8350911503446558,0.20387217823075568,0.006490703457321078,0.034450869869425464
regime_aware_with_raw_macro_logit,test,3,q4_of_10,10,0.999999790387866,0.9999998232905567,0.999999857490776,1.0,447136,3064,0.006852501252415373,0.010736105290774517,0.828658474548408,0.19761241426142878,0.00611634358259546,0.03305903662028638
regime_aware_with_raw_macro_logit,test,4,q5_of_10,10,0.9999998999541968,0.999999899954197,0.9999998999541968,1.0,202454,1134,0.005601272387801674,0.019588605982385845,0.8606920098951856,0.21114901957823737,0.0051621655658626074,0.034249601900873825
