model,coefficient,standardized_model_intercept,raw_basis_intercept,feature,basis_kind,standardized_coefficient,basis_mean,basis_scale,raw_basis_coefficient
baseline_logit,1e-05,,,alpha,,,,,
baseline_logit,0.00543025583325976,,,validation_brier_for_selection,,,,,
baseline_logit,500000.0,,,tuning_train_rows,,,,,
baseline_logit,500000.0,,,tuning_val_rows,,,,,
baseline_logit,0.0046461152542617715,,,calibration_validation_brier_platt,,,,,
baseline_logit,0.02595015348216698,,,calibration_validation_log_loss_platt,,,,,
baseline_logit,0.00471970931290166,,,calibration_validation_brier_intercept_only,,,,,
baseline_logit,0.026416599465643044,,,calibration_validation_log_loss_intercept_only,,,,,
baseline_logit,0.004606204205033141,,,calibration_validation_brier_isotonic,,,,,
baseline_logit,0.025706824353189196,,,calibration_validation_log_loss_isotonic,,,,,
baseline_logit,0.005818015293202143,,,calibration_validation_brier_raw,,,,,
baseline_logit,0.034540986664723085,,,calibration_validation_log_loss_raw,,,,,
baseline_logit,-2.1696044299999677,,,platt_intercept,,,,,
baseline_logit,0.7792647490233556,,,platt_logit_slope,,,,,
baseline_logit,-1.5504951824852387,,,intercept_only_shift,,,,,
baseline_logit,210.0,,,isotonic_threshold_count,,,,,
macro_logit,3e-05,,,alpha,,,,,
macro_logit,0.004871715807088636,,,validation_brier_for_selection,,,,,
macro_logit,500000.0,,,tuning_train_rows,,,,,
macro_logit,500000.0,,,tuning_val_rows,,,,,
macro_logit,0.004804465407717935,,,calibration_validation_brier_platt,,,,,
macro_logit,0.027074729332419258,,,calibration_validation_log_loss_platt,,,,,
macro_logit,0.004784630237784868,,,calibration_validation_brier_intercept_only,,,,,
macro_logit,0.027170203003412313,,,calibration_validation_log_loss_intercept_only,,,,,
macro_logit,0.004765299781612341,,,calibration_validation_brier_isotonic,,,,,
macro_logit,0.02670668884245448,,,calibration_validation_log_loss_isotonic,,,,,
macro_logit,0.004789335908431354,,,calibration_validation_brier_raw,,,,,
macro_logit,0.027241378630592315,,,calibration_validation_log_loss_raw,,,,,
macro_logit,-0.3503095543652978,,,platt_intercept,,,,,
macro_logit,0.881389511233829,,,platt_logit_slope,,,,,
macro_logit,0.17618234402202892,,,intercept_only_shift,,,,,
macro_logit,250.0,,,isotonic_threshold_count,,,,,
baseline_plus_p_stress_logit,1e-05,,,alpha,,,,,
baseline_plus_p_stress_logit,0.0062548529115531055,,,validation_brier_for_selection,,,,,
baseline_plus_p_stress_logit,500000.0,,,tuning_train_rows,,,,,
baseline_plus_p_stress_logit,500000.0,,,tuning_val_rows,,,,,
baseline_plus_p_stress_logit,0.004662220823208724,,,calibration_validation_brier_platt,,,,,
baseline_plus_p_stress_logit,0.026303232114612062,,,calibration_validation_log_loss_platt,,,,,
baseline_plus_p_stress_logit,0.00472700651856073,,,calibration_validation_brier_intercept_only,,,,,
baseline_plus_p_stress_logit,0.026960820303593886,,,calibration_validation_log_loss_intercept_only,,,,,
baseline_plus_p_stress_logit,0.004628338437698543,,,calibration_validation_brier_isotonic,,,,,
baseline_plus_p_stress_logit,0.02606983423431039,,,calibration_validation_log_loss_isotonic,,,,,
baseline_plus_p_stress_logit,0.007421409679477457,,,calibration_validation_brier_raw,,,,,
baseline_plus_p_stress_logit,0.04338277220052999,,,calibration_validation_log_loss_raw,,,,,
baseline_plus_p_stress_logit,-2.604501848294995,,,platt_intercept,,,,,
baseline_plus_p_stress_logit,0.74326996402992,,,platt_logit_slope,,,,,
baseline_plus_p_stress_logit,-2.0213873438847942,,,intercept_only_shift,,,,,
baseline_plus_p_stress_logit,210.0,,,isotonic_threshold_count,,,,,
regime_aware_logit,1e-05,,,alpha,,,,,
regime_aware_logit,0.005157288845714512,,,validation_brier_for_selection,,,,,
regime_aware_logit,500000.0,,,tuning_train_rows,,,,,
regime_aware_logit,500000.0,,,tuning_val_rows,,,,,
regime_aware_logit,0.004676373544470853,,,calibration_validation_brier_platt,,,,,
regime_aware_logit,0.026322947389043675,,,calibration_validation_log_loss_platt,,,,,
regime_aware_logit,0.0048026907884785855,,,calibration_validation_brier_intercept_only,,,,,
regime_aware_logit,0.027373501098878185,,,calibration_validation_log_loss_intercept_only,,,,,
regime_aware_logit,0.004624930065527621,,,calibration_validation_brier_isotonic,,,,,
regime_aware_logit,0.0259985500824329,,,calibration_validation_log_loss_isotonic,,,,,
regime_aware_logit,0.007815491217174404,,,calibration_validation_brier_raw,,,,,
regime_aware_logit,0.04555566432681163,,,calibration_validation_log_loss_raw,,,,,
regime_aware_logit,-2.831774395305902,,,platt_intercept,,,,,
regime_aware_logit,0.6905433056389455,,,platt_logit_slope,,,,,
regime_aware_logit,-2.150337859181975,,,intercept_only_shift,,,,,
regime_aware_logit,198.0,,,isotonic_threshold_count,,,,,
regime_aware_with_raw_macro_logit,1e-05,,,alpha,,,,,
regime_aware_with_raw_macro_logit,0.005189604437312632,,,validation_brier_for_selection,,,,,
regime_aware_with_raw_macro_logit,500000.0,,,tuning_train_rows,,,,,
regime_aware_with_raw_macro_logit,500000.0,,,tuning_val_rows,,,,,
regime_aware_with_raw_macro_logit,0.004692541678092873,,,calibration_validation_brier_platt,,,,,
regime_aware_with_raw_macro_logit,0.02664645216689338,,,calibration_validation_log_loss_platt,,,,,
regime_aware_with_raw_macro_logit,0.00492692874387872,,,calibration_validation_brier_intercept_only,,,,,
regime_aware_with_raw_macro_logit,0.028798529092430133,,,calibration_validation_log_loss_intercept_only,,,,,
regime_aware_with_raw_macro_logit,0.004635934253063138,,,calibration_validation_brier_isotonic,,,,,
regime_aware_with_raw_macro_logit,0.02631343874686733,,,calibration_validation_log_loss_isotonic,,,,,
regime_aware_with_raw_macro_logit,0.005262440699737098,,,calibration_validation_brier_raw,,,,,
regime_aware_with_raw_macro_logit,0.029895550279540897,,,calibration_validation_log_loss_raw,,,,,
regime_aware_with_raw_macro_logit,-2.153967431592256,,,platt_intercept,,,,,
regime_aware_with_raw_macro_logit,0.595236401067351,,,platt_logit_slope,,,,,
regime_aware_with_raw_macro_logit,-0.6991279082616484,,,intercept_only_shift,,,,,
regime_aware_with_raw_macro_logit,222.0,,,isotonic_threshold_count,,,,,
regime_aware_dynamic_stress_robustness_logit,1e-05,,,alpha,,,,,
regime_aware_dynamic_stress_robustness_logit,0.0050398773600823605,,,validation_brier_for_selection,,,,,
regime_aware_dynamic_stress_robustness_logit,500000.0,,,tuning_train_rows,,,,,
regime_aware_dynamic_stress_robustness_logit,500000.0,,,tuning_val_rows,,,,,
regime_aware_dynamic_stress_robustness_logit,0.004675766755555246,,,calibration_validation_brier_platt,,,,,
regime_aware_dynamic_stress_robustness_logit,0.026237372762292075,,,calibration_validation_log_loss_platt,,,,,
regime_aware_dynamic_stress_robustness_logit,0.004807753521868612,,,calibration_validation_brier_intercept_only,,,,,
regime_aware_dynamic_stress_robustness_logit,0.027257077428185037,,,calibration_validation_log_loss_intercept_only,,,,,
regime_aware_dynamic_stress_robustness_logit,0.004625472631058067,,,calibration_validation_brier_isotonic,,,,,
regime_aware_dynamic_stress_robustness_logit,0.02594434997161366,,,calibration_validation_log_loss_isotonic,,,,,
regime_aware_dynamic_stress_robustness_logit,0.006834840070745591,,,calibration_validation_brier_raw,,,,,
regime_aware_dynamic_stress_robustness_logit,0.040036495563244574,,,calibration_validation_log_loss_raw,,,,,
regime_aware_dynamic_stress_robustness_logit,-2.6476115240104003,,,platt_intercept,,,,,
regime_aware_dynamic_stress_robustness_logit,0.6933027678623938,,,platt_logit_slope,,,,,
regime_aware_dynamic_stress_robustness_logit,-1.8908126866177257,,,intercept_only_shift,,,,,
regime_aware_dynamic_stress_robustness_logit,210.0,,,isotonic_threshold_count,,,,,
