model,fold,split,bin,n,mean_pred,observed_rate,event_count
baseline_logit,origin_2021_04,validation,0,147205,0.0012204324904555664,0.0018681430657926021,275
baseline_logit,origin_2021_04,validation,1,147205,0.0025536980823710883,0.004829998981012873,711
baseline_logit,origin_2021_04,validation,2,147205,0.004326352525506299,0.00782582113379301,1152
baseline_logit,origin_2021_04,validation,3,147205,0.006498145062713458,0.008321728202167046,1225
baseline_logit,origin_2021_04,validation,4,147205,0.009000161879471927,0.008695356815325567,1280
baseline_logit,origin_2021_04,validation,5,147204,0.011992720732789007,0.010108420966821553,1488
baseline_logit,origin_2021_04,validation,6,147204,0.01578520235141276,0.014055324583571099,2069
baseline_logit,origin_2021_04,validation,7,147204,0.021199365282352386,0.01726855248498682,2542
baseline_logit,origin_2021_04,validation,8,147204,0.031091694703616668,0.024775141979837503,3647
baseline_logit,origin_2021_04,validation,9,147204,0.12414576628143323,0.13025461264639548,19174
baseline_logit,origin_2021_04,test,0,176572,0.0008934233746179151,0.0006626192148245475,117
baseline_logit,origin_2021_04,test,1,176572,0.0015220907916909483,0.0019765308202886077,349
baseline_logit,origin_2021_04,test,2,176572,0.0022388995925994785,0.00224271118863693,396
baseline_logit,origin_2021_04,test,3,176572,0.0033563895046411748,0.0032677887773825973,577
baseline_logit,origin_2021_04,test,4,176571,0.0054690016278599015,0.004117323909362239,727
baseline_logit,origin_2021_04,test,5,176571,0.009220784776528448,0.0031262211801484957,552
baseline_logit,origin_2021_04,test,6,176571,0.014504206920696632,0.003528325716000929,623
baseline_logit,origin_2021_04,test,7,176571,0.02180481836638699,0.0038341517010154554,677
baseline_logit,origin_2021_04,test,8,176571,0.03402311672497242,0.006178817586126827,1091
baseline_logit,origin_2021_04,test,9,176571,0.09141875549366606,0.022042124697713668,3892
macro_logit,origin_2021_04,validation,0,147205,0.02263614165862932,0.015984511395672703,2353
macro_logit,origin_2021_04,validation,1,147205,0.02263614165862932,0.01859311844027037,2737
macro_logit,origin_2021_04,validation,2,147205,0.02263614165862932,0.02014197887300024,2965
macro_logit,origin_2021_04,validation,3,147205,0.02263614165862932,0.026099656941000644,3842
macro_logit,origin_2021_04,validation,4,147205,0.02263614165862932,0.028993580381101187,4268
macro_logit,origin_2021_04,validation,5,147204,0.02263614165862932,0.03747860112496943,5517
macro_logit,origin_2021_04,validation,6,147204,0.02263614165862932,0.03206434607755224,4720
macro_logit,origin_2021_04,validation,7,147204,0.02263614165862932,0.024190918725034646,3561
macro_logit,origin_2021_04,validation,8,147204,0.02263614165862932,0.009524197712018696,1402
macro_logit,origin_2021_04,validation,9,147204,0.023614612821469608,0.014931659465775387,2198
macro_logit,origin_2021_04,test,0,176572,0.056176463107120926,0.0012516140724463675,221
macro_logit,origin_2021_04,test,1,176572,0.0741835619007042,0.00253720861744784,448
macro_logit,origin_2021_04,test,2,176572,0.09021281657315013,0.003924744580114627,693
macro_logit,origin_2021_04,test,3,176572,0.10946709706718889,0.004955485580952813,875
macro_logit,origin_2021_04,test,4,176571,0.1436990940069543,0.007883514280374466,1392
macro_logit,origin_2021_04,test,5,176571,0.18690881497050474,0.003970074361021912,701
macro_logit,origin_2021_04,test,6,176571,0.22048814162388855,0.004156968018530789,734
macro_logit,origin_2021_04,test,7,176571,0.26049049018634707,0.0057993668269421365,1024
macro_logit,origin_2021_04,test,8,176571,0.32170112611494356,0.005187714856913083,916
macro_logit,origin_2021_04,test,9,176571,0.40423384067950785,0.011309898001370553,1997
regime_aware_logit,origin_2021_04,validation,0,147205,0.0008986802259780109,0.0019496620359362794,287
regime_aware_logit,origin_2021_04,validation,1,147205,0.001983119543095536,0.0052851465643150705,778
regime_aware_logit,origin_2021_04,validation,2,147205,0.0035525669974826994,0.008444006657382562,1243
regime_aware_logit,origin_2021_04,validation,3,147205,0.00567373467406691,0.00859345810264597,1265
regime_aware_logit,origin_2021_04,validation,4,147205,0.00823416429919807,0.008885567745660813,1308
regime_aware_logit,origin_2021_04,validation,5,147204,0.011290568272838626,0.01024428684003152,1508
regime_aware_logit,origin_2021_04,validation,6,147204,0.015194694604150329,0.012737425613434418,1875
regime_aware_logit,origin_2021_04,validation,7,147204,0.02075929193874043,0.01525094426781881,2245
regime_aware_logit,origin_2021_04,validation,8,147204,0.03078608692564145,0.020998070704600417,3091
regime_aware_logit,origin_2021_04,validation,9,147204,0.12963758823293114,0.13561452134452867,19963
regime_aware_logit,origin_2021_04,test,0,176572,0.001040432638300596,0.0007192533357497225,127
regime_aware_logit,origin_2021_04,test,1,176572,0.0017292934343718623,0.0018349455179756699,324
regime_aware_logit,origin_2021_04,test,2,176572,0.002445529140731116,0.002163423419341685,382
regime_aware_logit,origin_2021_04,test,3,176572,0.003433402295004968,0.0027241012165009175,481
regime_aware_logit,origin_2021_04,test,4,176571,0.0049384379512838784,0.0036076139343380284,637
regime_aware_logit,origin_2021_04,test,5,176571,0.007197226270958106,0.0028600393043025185,505
regime_aware_logit,origin_2021_04,test,6,176571,0.010343938168530431,0.003296124505156566,582
regime_aware_logit,origin_2021_04,test,7,176571,0.0147849385299453,0.003664248376007385,647
regime_aware_logit,origin_2021_04,test,8,176571,0.02246614195606965,0.00570308827610423,1007
regime_aware_logit,origin_2021_04,test,9,176571,0.06600747311424805,0.024403780915325846,4309
baseline_logit,origin_2022_04,validation,0,176572,0.0005586081899914319,0.00056634120925175,100
baseline_logit,origin_2022_04,validation,1,176572,0.0009052361602069022,0.00147248714405455,260
baseline_logit,origin_2022_04,validation,2,176572,0.0012344047149892572,0.0020671454137688875,365
baseline_logit,origin_2022_04,validation,3,176572,0.0016177584537804496,0.0018632625784382574,329
baseline_logit,origin_2022_04,validation,4,176571,0.0020922558877082167,0.002429617547615407,429
baseline_logit,origin_2022_04,validation,5,176571,0.002704921548513063,0.002956317855140425,522
baseline_logit,origin_2022_04,validation,6,176571,0.0035342074732658485,0.003528325716000929,623
baseline_logit,origin_2022_04,validation,7,176571,0.00475659315280956,0.0033357686143251158,589
baseline_logit,origin_2022_04,validation,8,176571,0.006959303511180773,0.005521858062762289,975
baseline_logit,origin_2022_04,validation,9,176571,0.026229140133768963,0.027235502998793685,4809
baseline_logit,origin_2022_04,test,0,223359,0.000635888299700763,0.0005103891045357473,114
baseline_logit,origin_2022_04,test,1,223359,0.001049908296952457,0.0010610720857453695,237
baseline_logit,origin_2022_04,test,2,223359,0.0014442358316969133,0.0016430947488124499,367
baseline_logit,origin_2022_04,test,3,223359,0.0019122644424350618,0.0020460335155511977,457
baseline_logit,origin_2022_04,test,4,223359,0.002511024350316877,0.002601193594169028,581
baseline_logit,origin_2022_04,test,5,223359,0.003316497259804486,0.003290666595033108,735
baseline_logit,origin_2022_04,test,6,223358,0.004450149063349559,0.004042837059787426,903
baseline_logit,origin_2022_04,test,7,223358,0.006174098666198319,0.004038359942334727,902
baseline_logit,origin_2022_04,test,8,223358,0.009377618656683486,0.005748618809265842,1284
baseline_logit,origin_2022_04,test,9,223358,0.03292109060792358,0.026083686279425856,5826
macro_logit,origin_2022_04,validation,0,176572,0.0004425158137802828,0.00092879958317287,164
macro_logit,origin_2022_04,validation,1,176572,0.0008845167056702246,0.0015914187979974175,281
macro_logit,origin_2022_04,validation,2,176572,0.0013144300779540754,0.0018859162268083274,333
macro_logit,origin_2022_04,validation,3,176572,0.0017856678324581798,0.0023050087216546227,407
macro_logit,origin_2022_04,validation,4,176571,0.0023345938461918647,0.0024862519892847636,439
macro_logit,origin_2022_04,validation,5,176571,0.0030090217637135084,0.0030299426293105888,535
macro_logit,origin_2022_04,validation,6,176571,0.0038942929542995983,0.0033187782818243088,586
macro_logit,origin_2022_04,validation,7,176571,0.005183282263853975,0.0042985541227041815,759
macro_logit,origin_2022_04,validation,8,176571,0.007445377501090791,0.0059013088219469784,1042
macro_logit,origin_2022_04,validation,9,176571,0.02471385636574165,0.025230643763698456,4455
macro_logit,origin_2022_04,test,0,223359,0.00100463662403596,0.0006805188060476632,152
macro_logit,origin_2022_04,test,1,223359,0.00203743043680158,0.001862472521814657,416
macro_logit,origin_2022_04,test,2,223359,0.0034589232329184714,0.0027623691008645274,617
macro_logit,origin_2022_04,test,3,223359,0.006012313713600965,0.0039129831347740635,874
macro_logit,origin_2022_04,test,4,223359,0.010565104714554721,0.0032951436924413165,736
macro_logit,origin_2022_04,test,5,223359,0.017798436358981706,0.003214555939093567,718
macro_logit,origin_2022_04,test,6,223358,0.028764310166284016,0.003451857556031125,771
macro_logit,origin_2022_04,test,7,223358,0.04612441341080785,0.004651725033354525,1039
macro_logit,origin_2022_04,test,8,223358,0.07832367871208762,0.005126299483340646,1145
macro_logit,origin_2022_04,test,9,223358,0.20649777788905366,0.022108005981428917,4938
regime_aware_logit,origin_2022_04,validation,0,176572,0.000709111334030375,0.0004021022585687425,71
regime_aware_logit,origin_2022_04,validation,1,176572,0.0011449994417972514,0.00081553134132252,144
regime_aware_logit,origin_2022_04,validation,2,176572,0.0014787294506321213,0.00108737512176336,192
regime_aware_logit,origin_2022_04,validation,3,176572,0.0018244041526738776,0.001778311397050495,314
regime_aware_logit,origin_2022_04,validation,4,176571,0.0022168729234998096,0.0021237915626008803,375
regime_aware_logit,origin_2022_04,validation,5,176571,0.0027015180688356945,0.0022427238901065296,396
regime_aware_logit,origin_2022_04,validation,6,176571,0.0033312539410197267,0.0031998459543186595,565
regime_aware_logit,origin_2022_04,validation,7,176571,0.004258424090954468,0.004366515452707409,771
regime_aware_logit,origin_2022_04,validation,8,176571,0.006005215988356354,0.006784806111988945,1198
regime_aware_logit,origin_2022_04,validation,9,176571,0.027263833934662193,0.02817563473050501,4975
regime_aware_logit,origin_2022_04,test,0,223359,0.00031014116530783475,0.0005596371760260388,125
regime_aware_logit,origin_2022_04,test,1,223359,0.000602903709077655,0.0012222475924408688,273
regime_aware_logit,origin_2022_04,test,2,223359,0.000932997765947256,0.0020370793207347814,455
regime_aware_logit,origin_2022_04,test,3,223359,0.0014246534108727984,0.0028922049257025686,646
regime_aware_logit,origin_2022_04,test,4,223359,0.00226881009904136,0.004114452518143437,919
regime_aware_logit,origin_2022_04,test,5,223359,0.003798968152386617,0.004844219395681392,1082
regime_aware_logit,origin_2022_04,test,6,223358,0.006301966640973938,0.004880058023442187,1090
regime_aware_logit,origin_2022_04,test,7,223358,0.010236374082573328,0.005323292651259413,1189
regime_aware_logit,origin_2022_04,test,8,223358,0.017256708609034162,0.00666642788706919,1489
regime_aware_logit,origin_2022_04,test,9,223358,0.050843840358617616,0.018526312019269513,4138
baseline_logit,origin_2023_04,validation,0,223359,0.000492630509848456,0.0005506829812096222,123
baseline_logit,origin_2023_04,validation,1,223359,0.0008587968047237373,0.0007476752671707878,167
baseline_logit,origin_2023_04,validation,2,223359,0.0011822407394908563,0.0014550566576677008,325
baseline_logit,origin_2023_04,validation,3,223359,0.0015503143622404613,0.0018982893010803237,424
baseline_logit,origin_2023_04,validation,4,223359,0.001998266971568334,0.001916197690713157,428
baseline_logit,origin_2023_04,validation,5,223359,0.002581305793111199,0.0031608307701950673,706
baseline_logit,origin_2023_04,validation,6,223358,0.0034039655918974222,0.0036712363112133884,820
baseline_logit,origin_2023_04,validation,7,223358,0.004711266320604455,0.0048218554965570965,1077
baseline_logit,origin_2023_04,validation,8,223358,0.007282550215632675,0.0065276372460355125,1458
baseline_logit,origin_2023_04,validation,9,223358,0.026792580848866446,0.026316496386966214,5878
baseline_logit,origin_2023_04,test,0,265156,0.0005903475830831222,0.0006863883902306567,182
baseline_logit,origin_2023_04,test,1,265156,0.001058810106709691,0.0006486747424157854,172
baseline_logit,origin_2023_04,test,2,265156,0.0015254665071884794,0.0013727767804613134,364
baseline_logit,origin_2023_04,test,3,265156,0.002106986409314018,0.001904539214650998,505
baseline_logit,origin_2023_04,test,4,265156,0.0028935635606337504,0.0028247522213338564,749
baseline_logit,origin_2023_04,test,5,265156,0.004060296383464432,0.0030548054730045707,810
baseline_logit,origin_2023_04,test,6,265156,0.0059634864798353325,0.004529409102566036,1201
baseline_logit,origin_2023_04,test,7,265156,0.009406144390348934,0.005687218090482584,1508
baseline_logit,origin_2023_04,test,8,265155,0.016328015895178846,0.008662857573871887,2297
baseline_logit,origin_2023_04,test,9,265155,0.05550270835433147,0.03257717184288435,8638
macro_logit,origin_2023_04,validation,0,223359,0.0003983083792894997,0.0007700607542118294,172
macro_logit,origin_2023_04,validation,1,223359,0.0007493069492007851,0.0013968543913609928,312
macro_logit,origin_2023_04,validation,2,223359,0.0010938696122161588,0.002077373197408656,464
macro_logit,origin_2023_04,validation,3,223359,0.0015176728519858019,0.0026593958604757364,594
macro_logit,origin_2023_04,validation,4,223359,0.0020726754023773276,0.0030086094583159848,672
macro_logit,origin_2023_04,validation,5,223359,0.002828003705717369,0.0034205024198711493,764
macro_logit,origin_2023_04,validation,6,223358,0.0038827573681999915,0.0035906481970648016,802
macro_logit,origin_2023_04,validation,7,223358,0.005461149844785163,0.004038359942334727,902
macro_logit,origin_2023_04,validation,8,223358,0.00830752951978691,0.005166593540414939,1154
macro_logit,origin_2023_04,validation,9,223358,0.024769832533957,0.024937544211534844,5570
macro_logit,origin_2023_04,test,0,265156,0.001089801038934861,0.0008975848179939356,238
macro_logit,origin_2023_04,test,1,265156,0.0023121802043923867,0.0013878622395872618,368
macro_logit,origin_2023_04,test,2,265156,0.003466888446373189,0.001727285069921103,458
macro_logit,origin_2023_04,test,3,265156,0.004696746764412994,0.0017913982712063842,475
macro_logit,origin_2023_04,test,4,265156,0.006123393449465874,0.0024928721205629894,661
macro_logit,origin_2023_04,test,5,265156,0.007917236432560077,0.0030661195673490323,813
macro_logit,origin_2023_04,test,6,265156,0.010359057225612704,0.003975018479687429,1054
macro_logit,origin_2023_04,test,7,265156,0.014054462616076506,0.005129056102822489,1360
macro_logit,origin_2023_04,test,8,265155,0.020621671366701726,0.008051894175105127,2135
macro_logit,origin_2023_04,test,9,265155,0.0546681584003544,0.033429503497954025,8864
regime_aware_logit,origin_2023_04,validation,0,223359,0.0005990906487875523,0.00033130520820741496,74
regime_aware_logit,origin_2023_04,validation,1,223359,0.0009640880883161209,0.0007029042930887047,157
regime_aware_logit,origin_2023_04,validation,2,223359,0.0012472971984349296,0.0010610720857453695,237
regime_aware_logit,origin_2023_04,validation,3,223359,0.0015512806072985605,0.001428194073218451,319
regime_aware_logit,origin_2023_04,validation,4,223359,0.001908528160453254,0.0021310983663071557,476
regime_aware_logit,origin_2023_04,validation,5,223359,0.002369951135919004,0.001978877054428073,442
regime_aware_logit,origin_2023_04,validation,6,223358,0.0030245978506227905,0.0035996024319702004,804
