fold,model,feature,standardized_coefficient
origin_2021_04,baseline_logit,credit_score,-0.748967170715332
origin_2021_04,baseline_logit,mi_percent,0.14566391706466675
origin_2021_04,baseline_logit,number_of_units,0.020731890574097633
origin_2021_04,baseline_logit,original_cltv,0.0341096855700016
origin_2021_04,baseline_logit,original_dti,-0.10090306401252747
origin_2021_04,baseline_logit,original_upb,-0.2559453248977661
origin_2021_04,baseline_logit,original_ltv,0.04740418121218681
origin_2021_04,baseline_logit,original_interest_rate,0.23551532626152039
origin_2021_04,baseline_logit,original_loan_term,0.41979482769966125
origin_2021_04,baseline_logit,number_of_borrowers,-0.24518148601055145
origin_2021_04,baseline_logit,loan_age_months,0.34859994053840637
origin_2021_04,baseline_logit,remaining_months_to_legal_maturity,-0.6547825932502747
origin_2021_04,baseline_logit,current_actual_upb,0.6115114092826843
origin_2021_04,baseline_logit,current_interest_rate,0.37733161449432373
origin_2021_04,baseline_logit,current_delinquency_months,0.05060175061225891
origin_2021_04,baseline_logit,current_30_dpd,0.03637021407485008
origin_2021_04,baseline_logit,current_60_dpd,0.06269484013319016
origin_2021_04,baseline_logit,recent_30_dpd_3m,0.046991243958473206
origin_2021_04,baseline_logit,recent_60_dpd_3m,0.09443458914756775
origin_2021_04,baseline_logit,ever_30_dpd,0.14751075208187103
origin_2021_04,baseline_logit,ever_60_dpd,0.05927419662475586
origin_2021_04,baseline_logit,months_since_30_dpd,0.1269216388463974
origin_2021_04,baseline_logit,months_since_60_dpd,0.06641221046447754
origin_2021_04,baseline_logit,delinquent_30_months_3m,-0.03017173707485199
origin_2021_04,baseline_logit,delinquent_30_months_6m,0.004434887785464525
origin_2021_04,baseline_logit,delinquent_30_months_12m,0.002868791576474905
origin_2021_04,baseline_logit,delinquent_60_months_3m,0.004572244826704264
origin_2021_04,baseline_logit,delinquent_60_months_6m,-0.03118317201733589
origin_2021_04,baseline_logit,delinquent_60_months_12m,-0.08736810833215714
origin_2021_04,baseline_logit,cured_from_30_dpd,-0.0057426742278039455
origin_2021_04,baseline_logit,cumulative_30_dpd_cures,-0.02887635864317417
origin_2021_04,baseline_logit,months_since_30_dpd_cure,-0.09489760547876358
origin_2021_04,macro_logit,credit_score,-0.9254754185676575
origin_2021_04,macro_logit,mi_percent,0.09398695081472397
origin_2021_04,macro_logit,number_of_units,-0.032463379204273224
origin_2021_04,macro_logit,original_cltv,0.07292866706848145
origin_2021_04,macro_logit,original_dti,0.0059583852998912334
origin_2021_04,macro_logit,original_upb,-0.7192079424858093
origin_2021_04,macro_logit,original_ltv,0.034200672060251236
origin_2021_04,macro_logit,original_interest_rate,-0.16740979254245758
origin_2021_04,macro_logit,original_loan_term,1.747005581855774
origin_2021_04,macro_logit,number_of_borrowers,-0.2649833559989929
origin_2021_04,macro_logit,loan_age_months,-0.3786758780479431
origin_2021_04,macro_logit,remaining_months_to_legal_maturity,-1.7979778051376343
origin_2021_04,macro_logit,current_actual_upb,1.1169482469558716
origin_2021_04,macro_logit,current_interest_rate,0.36180898547172546
origin_2021_04,macro_logit,current_delinquency_months,0.04111717641353607
origin_2021_04,macro_logit,current_30_dpd,0.04299015551805496
origin_2021_04,macro_logit,current_60_dpd,0.01752210408449173
origin_2021_04,macro_logit,recent_30_dpd_3m,0.04881027713418007
origin_2021_04,macro_logit,recent_60_dpd_3m,0.06845391541719437
origin_2021_04,macro_logit,ever_30_dpd,0.1730712205171585
origin_2021_04,macro_logit,ever_60_dpd,0.01778058521449566
origin_2021_04,macro_logit,months_since_30_dpd,0.14273932576179504
origin_2021_04,macro_logit,months_since_60_dpd,0.08411872386932373
origin_2021_04,macro_logit,delinquent_30_months_3m,-0.061483804136514664
origin_2021_04,macro_logit,delinquent_30_months_6m,0.05246995761990547
origin_2021_04,macro_logit,delinquent_30_months_12m,0.07245919853448868
origin_2021_04,macro_logit,delinquent_60_months_3m,-0.11050774157047272
origin_2021_04,macro_logit,delinquent_60_months_6m,-0.0018614104483276606
origin_2021_04,macro_logit,delinquent_60_months_12m,-0.08155547827482224
origin_2021_04,macro_logit,cured_from_30_dpd,-0.032576847821474075
origin_2021_04,macro_logit,cumulative_30_dpd_cures,-0.04428928345441818
origin_2021_04,macro_logit,months_since_30_dpd_cure,-0.14049872756004333
origin_2021_04,macro_logit,inflation,0.3119986057281494
origin_2021_04,macro_logit,policy_rate,0.19553878903388977
origin_2021_04,macro_logit,unemployment,-1.7089340686798096
origin_2021_04,macro_logit,unemployment_change,0.4143582284450531
origin_2021_04,macro_logit,house_price_growth,-0.21453987061977386
origin_2021_04,macro_logit,mortgage_rate,-0.4320707321166992
origin_2021_04,macro_logit,mortgage_spread,0.27848580479621887
origin_2021_04,macro_logit,long_rate,-0.43261608481407166
origin_2021_04,macro_logit,long_rate_change,0.2032543420791626
origin_2021_04,macro_logit,yield_curve,1.108657717704773
origin_2021_04,macro_logit,initial_claims,0.5114593505859375
origin_2021_04,macro_logit,initial_claims_change,-0.7508556246757507
origin_2021_04,macro_logit,payroll_growth,0.07470431178808212
origin_2021_04,macro_logit,real_income_growth,-0.11536399275064468
