model,fold,split,n,event_count,event_rate,pred_mean,brier,log_loss,roc_auc,pr_auc
baseline_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.02278129259055805,0.017515212584311393,0.08081578325139062,0.8220485045720338,0.3449654952681193
baseline_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.018445111469096116,0.005559178446630062,0.03630814450917352,0.7386096661648787,0.09560907450535885
macro_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.022733988442562383,0.0222645187731577,0.10847821265241898,0.5158545726365857,0.029321425848351373
macro_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.18675590846664336,0.04971187225328193,0.22347470398319502,0.615856530781335,0.018066067593535098
regime_aware_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.022800985943614183,0.017155713755995165,0.07887975584501082,0.8249399486499631,0.3749616849113293
regime_aware_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.013438655804432556,0.0050868587713848055,0.03151167350644049,0.7592320752920886,0.10176835393764287
baseline_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.005059233905892706,0.004666318623219863,0.026230899095037737,0.7930166718438454,0.13892625187403396
baseline_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.006379265277619607,0.004788018279789772,0.027027525750065493,0.79204827731022,0.10996571789724442
macro_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.005100746464638891,0.0047296760080536146,0.026953128385592256,0.7761654301463846,0.11995752845216516
macro_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.040058613218686485,0.009823510585675014,0.05785443510098495,0.7323299119143022,0.0884172039350641
regime_aware_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.005093427714885353,0.00462437079572325,0.025583967036639364,0.8247313306315686,0.15333645946971683
regime_aware_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.009397715335522678,0.005003931729395188,0.031107385641698803,0.7294842568868356,0.0802605122628721
baseline_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.005085382033862221,0.004773799054762848,0.026677289686217694,0.8054076350175534,0.11117813509041034
baseline_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.009943562977183084,0.005794246368072736,0.03198706395454337,0.8176958601562095,0.13067121104138357
macro_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.0051081007721220225,0.004813559921578512,0.027625371324679886,0.767302545476402,0.10478410991878273
macro_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.012530940651696883,0.005763948153729486,0.03313198999977293,0.8111578460121935,0.13775014614251585
regime_aware_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.005055017401579149,0.004733834105256525,0.026090915679965587,0.8266935160997412,0.12201070260717284
regime_aware_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.014217567551402849,0.006144782585570292,0.03640302757457602,0.7741325189112243,0.0914997273116208
baseline_logit,pooled,test,6650858,36833,0.0055380824549253645,0.011003597299412266,0.005393913104208461,0.03146867028720771,0.784796264530651,0.10393211637979202
macro_logit,pooled,test,6650858,36833,0.0055380824549253645,0.06803007909046861,0.01879487539163422,0.0919680833492866,0.6894561491866218,0.04476361551400278
regime_aware_logit,pooled,test,6650858,36833,0.0055380824549253645,0.012392105361735165,0.005480781130407448,0.03332598036662911,0.7535988367438871,0.08932043013164839
