fold,month_date,n,brier_loss_difference,log_loss_difference,brier_loss_difference_sum,log_loss_difference_sum
origin_2021_04,2021-04-01,130559,-0.0003235220825431873,-0.004258285505606984,-42.23871957475599,-555.9574973265422
origin_2021_04,2021-05-01,133044,-0.0003808795198896872,-0.004490034137673097,-50.673734844203544,-597.3721018125796
origin_2021_04,2021-06-01,135354,-0.00042622745053452814,-0.00476790994510569,-57.691590339650524,-645.3556827098355
origin_2021_04,2021-07-01,138629,-0.00043058784559764585,-0.004861345719214424,-59.69196244735605,-673.9234957089764
origin_2021_04,2021-08-01,141372,-0.00045678907862927554,-0.005006823108724521,-64.57718562397794,-707.824596526603
origin_2021_04,2021-09-01,144794,-0.0005038382493104825,-0.005257258901514842,-72.952755470662,-761.21954538594
origin_2021_04,2021-10-01,148194,-0.0005615633523558423,-0.00555462462475561,-83.2203194390217,-823.1620416410329
origin_2021_04,2021-11-01,151979,-0.0005991753135582808,-0.0057681903467109285,-91.06206497927396,-876.6438007027801
origin_2021_04,2021-12-01,155481,-0.0006424800493470904,-0.0060011521773039615,-99.89344055253497,-933.0651416793972
origin_2021_04,2022-01-01,158609,-0.00070654862924204,-0.006275399120585079,-112.06497153545071,-995.3347791168788
origin_2021_04,2022-02-01,162298,-0.0007557994102231557,-0.006495720446999883,-122.66473268039772,-1054.242437107187
origin_2021_04,2022-03-01,165401,0.00013754460028223562,0.0009365428237918224,22.750014431282054,154.90511959799122
origin_2022_04,2022-04-01,168901,0.00015628039141354932,0.003504121973631939,26.395914390139893,591.8497054684082
origin_2022_04,2022-05-01,172226,0.00014499237596323278,0.003539227126099482,24.97145694264373,609.5469310196094
origin_2022_04,2022-06-01,175027,0.00016588650188638555,0.003647410584588486,29.034616765668403,638.3953323887689
origin_2022_04,2022-07-01,178280,0.00016805730794689294,0.0036849972992632025,29.961256860772075,656.9613185126437
origin_2022_04,2022-08-01,181711,0.00016523579075571442,0.003674506720314405,30.025160774011624,667.6982906550509
origin_2022_04,2022-09-01,185055,0.0001761355697076269,0.0038009885302705943,32.59476785224489,703.3919324692248
origin_2022_04,2022-10-01,187621,0.00019537997811883598,0.003909667333901669,36.65738687463413,733.535694853965
origin_2022_04,2022-11-01,191246,0.00020482789324279574,0.00402997172974305,39.17251527111171,770.7159734264393
origin_2022_04,2022-12-01,194247,0.0002392199951758674,0.004299921798169763,46.46776640292671,835.2469095290819
origin_2022_04,2023-01-01,197253,0.0002901142193453697,0.004601931759360292,57.22590010853221,907.7448453290957
origin_2022_04,2023-02-01,199724,0.0003028160296169617,0.004777153144033186,60.479628699218054,954.112134538884
origin_2022_04,2023-03-01,202295,0.00034244488152677005,0.005158401679342074,69.27488730845795,1043.5188677225049
origin_2023_04,2023-04-01,206266,-4.0996367169305605e-05,-0.00048487727480810383,-8.45615667054399,-100.01369596556835
origin_2023_04,2023-05-01,208682,-4.335989840049734e-05,-0.0005062952552821406,-9.048430318012587,-105.65470646278766
origin_2023_04,2023-06-01,211872,-2.382899895393366e-05,-0.00044086190464865435,-5.048697666367833,-93.4062934617197
origin_2023_04,2023-07-01,214767,-3.616662656142823e-05,-0.00048052880934723737,-7.767397886718257,-103.20173079707813
origin_2023_04,2023-08-01,217610,0.00025202953786554217,0.0036938759486234898,54.844147734920625,803.8243451799576
origin_2023_04,2023-09-01,220569,0.00041234889536644547,0.005881134476229971,90.95138350208151,1297.1959502875684
origin_2023_04,2023-10-01,222564,0.0004544611757391678,0.0062198206763777,101.14669711721214,1384.3081690173265
origin_2023_04,2023-11-01,225578,0.0005129079916896829,0.0067701519677333625,115.70075894937528,1527.1973405773565
origin_2023_04,2023-12-01,227623,0.000604696241636518,0.0072524691153529166,137.64277261002914,1650.8287774439768
origin_2023_04,2024-01-01,229738,0.0006093693701691058,0.007496770925606151,139.99530036391002,1722.2931589069058
origin_2023_04,2024-02-01,231850,0.0006647364697094574,0.007820934422060135,154.1191505021377,1813.2836457546423
origin_2023_04,2024-03-01,234439,0.0007054610519468349,0.008157894820938363,165.38758355736402,1912.5287039259688
