model,split,auc,brier,logloss,event_rate,pred_mean
baseline_nomacro__uncal,train,0.8698681812281727,0.060672706156976425,0.21178249784046893,0.08873361365322781,0.08871760221376922
baseline_nomacro__uncal,val,0.9254026386300094,0.01989623544234876,0.08555706952842809,0.02187784867821331,0.05137407110399767
baseline_nomacro__uncal,test,0.876270077273973,0.11072285358420528,0.3609737201666927,0.173805397375588,0.08605388448540378
baseline_nomacro__cal_sigmoid,train,0.8698681812281727,0.06423491466853629,0.2372715226465681,0.08873361365322781,0.04802239861747295
baseline_nomacro__cal_sigmoid,val,0.9254026386300094,0.018090236940060976,0.07111528925106238,0.02187784867821331,0.021862760454161908
baseline_nomacro__cal_sigmoid,test,0.876270077273973,0.1285549797386068,0.47666438970878994,0.173805397375588,0.0460936070880502
baseline_macro__uncal,train,0.8706806140367263,0.06020427168014659,0.21062571865244525,0.08873361365322781,0.08872493062253076
baseline_macro__uncal,val,0.9219138319353836,0.019467475716096517,0.08332424230686718,0.02187784867821331,0.04783276149603241
baseline_macro__uncal,test,0.8750985027580772,0.10923696435224152,0.3564636408735483,0.173805397375588,0.09003555101667657
baseline_macro__cal_sigmoid,train,0.8706806140367263,0.06316942867671052,0.23159502219208067,0.08873361365322781,0.05128342513226052
baseline_macro__cal_sigmoid,val,0.9219138319353836,0.01807750780560095,0.07148545670585905,0.02187784867821331,0.021857429229423558
baseline_macro__cal_sigmoid,test,0.8750985027580772,0.124744263193039,0.4544369680982619,0.173805397375588,0.0522531893413456
regime_macro__uncal,train,0.8707001907309081,0.06020428071628267,0.21062418210788686,0.08873361365322781,0.08882533728473033
regime_macro__uncal,val,0.9220133387698044,0.019471321948266975,0.08336383308236363,0.02187784867821331,0.04789762969675584
regime_macro__uncal,test,0.8751783294785991,0.10917993616039999,0.3561826684295244,0.173805397375588,0.09017044057476227
regime_macro__cal_sigmoid,train,0.8707001907309081,0.06316284479290031,0.23157731007148802,0.08873361365322781,0.05131506896832987
regime_macro__cal_sigmoid,val,0.9220133387698044,0.018078179611510394,0.07147470360927238,0.02187784867821331,0.021857076586442713
regime_macro__cal_sigmoid,test,0.8751783294785991,0.12469564936269967,0.4541777296094998,0.173805397375588,0.052310392131375144
regime_macro_interactions__uncal,train,0.8742823947593096,0.059860039796112256,0.20885330966128135,0.08873361365322781,0.0887499178374
regime_macro_interactions__uncal,val,0.9219599448586517,0.019207805330165056,0.08164911922775736,0.02187784867821331,0.04533477780688256
regime_macro_interactions__uncal,test,0.8741316176137872,0.10865434543946803,0.3532972137478261,0.173805397375588,0.09315007289592812
regime_macro_interactions__cal_sigmoid,train,0.8742823947593096,0.06231084418817669,0.22657134808377358,0.08873361365322781,0.05462528451054461
regime_macro_interactions__cal_sigmoid,val,0.9219599448586517,0.018120438132525597,0.07143182838586304,0.02187784867821331,0.021864426820159887
regime_macro_interactions__cal_sigmoid,test,0.8741316176137872,0.12214003682843502,0.43810573889459975,0.173805397375588,0.057566437028194126
regime_nomacro_interactions__uncal,train,0.8700176072030886,0.060606917475854886,0.21163208377090567,0.08873361365322781,0.08874946352147124
regime_nomacro_interactions__uncal,val,0.9250883426529979,0.019829526544090308,0.08523714368011641,0.02187784867821331,0.05090080535784019
regime_nomacro_interactions__uncal,test,0.8768487142775424,0.11033742641180837,0.35950167981842507,0.173805397375588,0.0868105303502245
regime_nomacro_interactions__cal_sigmoid,train,0.8700176072030885,0.06404161223438039,0.2364643489048943,0.08873361365322781,0.04857859948164714
regime_nomacro_interactions__cal_sigmoid,val,0.9250883426529979,0.018103325061032703,0.07113531444228065,0.02187784867821331,0.021860432134911078
regime_nomacro_interactions__cal_sigmoid,test,0.8768487142775424,0.12776426043840722,0.4722958755647109,0.173805397375588,0.04719207180296905
