model,fold,split,n,event_count,event_rate,pred_mean,brier,log_loss,roc_auc,pr_auc
baseline_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.022794153551527124,0.017509582391240806,0.08025899279028727,0.8300780875947282,0.34532990315634404
baseline_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.018422009567869806,0.005586172155242813,0.03621241057045678,0.7487514785058447,0.0922506379234
macro_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.022800871433859924,0.02018662363396195,0.09902050202156815,0.5938012724349653,0.15629811017245493
macro_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.9761192337364092,0.9564620839768729,7.643358370017194,0.6900142381455001,0.05425218642615238
regime_aware_logit,origin_2021_04,validation,1472045,33563,0.02280025406831992,0.022810846319013662,0.022257894733199224,0.10842444013957883,0.5543851342334462,0.03771453885373262
regime_aware_logit,origin_2021_04,test,1765714,9001,0.005097654546546043,0.022247469855674978,0.005319196858707622,0.0407218747409003,0.7634907897624866,0.086477831867987
baseline_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.005011059645312602,0.004668711000304541,0.026122788211469072,0.8024547977909,0.13866646803759183
baseline_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.0062875751437799065,0.00478504832533398,0.026873261881873414,0.8007657779243204,0.10921227167026318
macro_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.0050952319421566404,0.004656133579505946,0.02592806269094044,0.8119059245437724,0.1442299515073705
macro_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.015433443397836859,0.005508103518945014,0.03363540328939697,0.7618072329052843,0.10627421866432603
regime_aware_logit,origin_2022_04,validation,1765714,9001,0.005097654546546043,0.0050797888807787095,0.0046324405626261556,0.025319827653314177,0.834381724294683,0.14754131259414377
regime_aware_logit,origin_2022_04,test,2233586,11406,0.005106586448876381,0.0073984259069564936,0.004880383719907813,0.028517522918961393,0.7678707122223853,0.09896657266735516
baseline_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.005088963113219419,0.004769514305167248,0.02654904379238487,0.813101464222402,0.11258614220901415
baseline_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.009832227960482373,0.005770636821580831,0.03172420071958856,0.8234710881632228,0.13422827889427533
macro_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.0051080122809853004,0.00481197551841392,0.027514405207981804,0.7744119761828868,0.10526954901847421
macro_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.012536722933528852,0.005760346573139021,0.032986933720808936,0.8165103883080658,0.13920602168520008
regime_aware_logit,origin_2023_04,validation,2233586,11406,0.005106586448876381,0.005029371573591292,0.004723885482520847,0.0259181241600212,0.8329284923693929,0.12496854073274057
regime_aware_logit,origin_2023_04,test,2651558,16426,0.006194848462677415,0.014122755673747642,0.006117063574818713,0.036035635315907075,0.782709031332323,0.09863476410059997
baseline_logit,pooled,test,6650858,36833,0.0055380824549253645,0.01092228442159751,0.005390669528513322,0.03128664903736036,0.7923868996444585,0.10288536962073429
macro_logit,pooled,test,6650858,36833,0.0055380824549253645,0.26932783225427953,0.25807425268925993,2.053656718403997,0.6631627408450407,0.01964519332872292
regime_aware_logit,pooled,test,6650858,36833,0.0055380824549253645,0.014021498475133518,0.005489921145799421,0.03475492957295153,0.7415065227891888,0.07662989290056975
