model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
baseline_logit,origin_2021_04,2021-04-01,130559,844,0.00646451029802618,0.017550659099632455,0.006355498152697816,0.038642290021554504,2291.3965013889137,1447.3965013889137,1447.3965013889137
baseline_logit,origin_2021_04,2021-05-01,133044,787,0.005915336279727007,0.01755878097589578,0.005942886262501241,0.03699944076041022,2336.0904561570783,1549.0904561570783,1549.0904561570783
baseline_logit,origin_2021_04,2021-06-01,135354,751,0.005548413789027292,0.017577746378423194,0.005728812628727864,0.03635595794080582,2379.218283305093,1628.2182833050929,1628.2182833050929
baseline_logit,origin_2021_04,2021-07-01,138629,757,0.005460617908229879,0.017766093032152003,0.005674327319719739,0.036257559081615987,2462.8957109542002,1705.8957109542002,1705.8957109542002
baseline_logit,origin_2021_04,2021-08-01,141372,721,0.005100019805902159,0.017905318842150797,0.005418974643993895,0.035226160919450876,2531.3107353525425,1810.3107353525425,1810.3107353525425
baseline_logit,origin_2021_04,2021-09-01,144794,728,0.005027832644999102,0.018253921542521725,0.005370346967248067,0.03508601771114167,2643.0583158278905,1915.0583158278905,1915.0583158278905
baseline_logit,origin_2021_04,2021-10-01,148194,713,0.004811260914746886,0.018592123021919888,0.00518622725422997,0.03457207843421807,2755.2410791103957,2042.2410791103957,2042.2410791103957
baseline_logit,origin_2021_04,2021-11-01,151979,689,0.004533521078570066,0.018599811987251757,0.0051392425897199235,0.03446263103475037,2826.780826010535,2137.780826010535,2137.780826010535
baseline_logit,origin_2021_04,2021-12-01,155481,704,0.004527884436040417,0.018649904729697204,0.005300179527093046,0.03530188844547375,2899.705837278051,2195.705837278051,2195.705837278051
baseline_logit,origin_2021_04,2022-01-01,158609,745,0.004697085285198192,0.019036544194985943,0.00556181430525165,0.03664171373977643,3019.3672382225254,2274.3672382225254,2274.3672382225254
baseline_logit,origin_2021_04,2022-02-01,162298,779,0.004799812690236479,0.019482699014734067,0.0058145210667482315,0.03767313774608048,3162.0030846933096,2383.0030846933096,2383.0030846933096
baseline_logit,origin_2021_04,2022-03-01,165401,783,0.004733949613363885,0.019473474367271856,0.0056703365726586885,0.03742342926685708,3220.932133821132,2437.932133821132,2437.932133821132
macro_logit,origin_2021_04,2021-04-01,130559,844,0.00646451029802618,0.9967107616470289,0.9889572432665772,9.690930177406868,130129.56032987444,129285.56032987444,129285.56032987444
macro_logit,origin_2021_04,2021-05-01,133044,787,0.005915336279727007,0.9910145241298648,0.9818099199321575,7.2140940408731415,131848.53634833373,131061.53634833373,131061.53634833373
macro_logit,origin_2021_04,2021-06-01,135354,751,0.005548413789027292,0.9152306528390517,0.8509062534050991,3.174418451572959,123880.129784377,123129.129784377,123129.129784377
macro_logit,origin_2021_04,2021-07-01,138629,757,0.005460617908229879,0.8795135289419226,0.7919240189700775,2.711431592038919,121926.08100368979,121169.08100368979,121169.08100368979
macro_logit,origin_2021_04,2021-08-01,141372,721,0.005100019805902159,0.9617945319828887,0.9319800471047759,4.248122095089186,135970.81657548493,135249.81657548493,135249.81657548493
macro_logit,origin_2021_04,2021-09-01,144794,728,0.005027832644999102,0.9833173226588916,0.9711441345920616,5.774763880381938,142378.44841707154,141650.44841707154,141650.44841707154
macro_logit,origin_2021_04,2021-10-01,148194,713,0.004811260914746886,0.9930783761733251,0.9861418247757755,8.173339181660157,147168.25687862973,146455.25687862973,146455.25687862973
macro_logit,origin_2021_04,2021-11-01,151979,689,0.004533521078570066,0.9944462611695369,0.988249905833583,8.91301691749679,151134.94832628506,150445.94832628506,150445.94832628506
macro_logit,origin_2021_04,2021-12-01,155481,704,0.004527884436040417,0.9956814703853861,0.9898595202827002,9.722195543557916,154809.55069699022,154105.55069699022,154105.55069699022
macro_logit,origin_2021_04,2022-01-01,158609,745,0.004697085285198192,0.9969157407754119,0.9914681094823259,11.011458810831577,158119.8087286473,157374.8087286473,157374.8087286473
macro_logit,origin_2021_04,2022-02-01,162298,779,0.004799812690236479,0.9949898570175633,0.9889080754300019,9.26070912066621,161484.86381423648,160705.86381423648,160705.86381423648
macro_logit,origin_2021_04,2022-03-01,165401,783,0.004733949613363885,0.9957400243893928,0.9901809979856866,10.288486088164037,164696.39577402995,163913.39577402995,163913.39577402995
regime_aware_logit,origin_2021_04,2021-04-01,130559,844,0.00646451029802618,0.022307956904662446,0.0066019986886476315,0.045499552990045156,2912.5045455158242,2068.5045455158242,2068.5045455158242
regime_aware_logit,origin_2021_04,2021-05-01,133044,787,0.005915336279727007,0.0222784122324565,0.0060812982778054,0.04350099529956523,2964.0090770549427,2177.0090770549427,2177.0090770549427
regime_aware_logit,origin_2021_04,2021-06-01,135354,751,0.005548413789027292,0.022266270759004107,0.005738309916201676,0.0422376137267006,3013.828812314242,2262.828812314242,2262.828812314242
regime_aware_logit,origin_2021_04,2021-07-01,138629,757,0.005460617908229879,0.02224635749368855,0.0056557461320737926,0.04192540953922649,3083.99029299255,2326.99029299255,2326.99029299255
