model,fold,split,bin,n,mean_pred,observed_rate,event_count
baseline_logit,origin_2021_04,validation,0,147205,0.0010685228231467414,0.001453754967562243,214
baseline_logit,origin_2021_04,validation,1,147205,0.002399472548730034,0.004184640467375429,616
baseline_logit,origin_2021_04,validation,2,147205,0.004037110105832894,0.005923711830440542,872
baseline_logit,origin_2021_04,validation,3,147205,0.006042186387396962,0.00821982948948745,1210
baseline_logit,origin_2021_04,validation,4,147205,0.00849426340502305,0.00894670697326857,1317
baseline_logit,origin_2021_04,validation,5,147204,0.01159553952052357,0.011100241841254313,1634
baseline_logit,origin_2021_04,validation,6,147204,0.015643386043921438,0.01351186109073123,1989
baseline_logit,origin_2021_04,validation,7,147204,0.02148600544607218,0.017390831770875793,2560
baseline_logit,origin_2021_04,validation,8,147204,0.03180351495888865,0.026344392815412624,3878
baseline_logit,origin_2021_04,validation,9,147204,0.1253721587778721,0.1309271487187848,19273
baseline_logit,origin_2021_04,test,0,176572,0.0007593353414960182,0.0007079265115646875,125
baseline_logit,origin_2021_04,test,1,176572,0.0014391558213515951,0.0012855945450014725,227
baseline_logit,origin_2021_04,test,2,176572,0.0022302718706874378,0.00228801848537707,404
baseline_logit,origin_2021_04,test,3,176572,0.003377726018683168,0.00314885712343973,556
baseline_logit,origin_2021_04,test,4,176571,0.005316463897763253,0.0037492000385114205,662
baseline_logit,origin_2021_04,test,5,176571,0.008667782830700932,0.0035792967135033498,632
baseline_logit,origin_2021_04,test,6,176571,0.013818557901950261,0.0033584223909928585,593
baseline_logit,origin_2021_04,test,7,176571,0.021475412599042617,0.004394832673542088,776
baseline_logit,origin_2021_04,test,8,176571,0.03445443098507116,0.006184481030293763,1092
baseline_logit,origin_2021_04,test,9,176571,0.09268133152842727,0.022279989352724967,3934
macro_logit,origin_2021_04,validation,0,147205,0.019765773586215674,0.013124554193132026,1932
macro_logit,origin_2021_04,validation,1,147205,0.019765773586215674,0.015108182466628171,2224
macro_logit,origin_2021_04,validation,2,147205,0.019765773586215674,0.016521177949118577,2432
macro_logit,origin_2021_04,validation,3,147205,0.019765773586215674,0.021718012295777998,3197
macro_logit,origin_2021_04,validation,4,147205,0.019765773586215674,0.02350463639142692,3460
macro_logit,origin_2021_04,validation,5,147204,0.019765773586215674,0.03071248063911307,4521
macro_logit,origin_2021_04,validation,6,147204,0.019765773586215674,0.027757397896796283,4086
macro_logit,origin_2021_04,validation,7,147204,0.019765773586215674,0.021826852531181218,3213
macro_logit,origin_2021_04,validation,8,147204,0.019765773586215674,0.010427705768864976,1535
macro_logit,origin_2021_04,validation,9,147204,0.050116855154212984,0.047301703758050054,6963
macro_logit,origin_2021_04,test,0,176572,0.7960966830363004,0.0012402872482613326,219
macro_logit,origin_2021_04,test,1,176572,0.9728093560277518,0.003273452189475115,578
macro_logit,origin_2021_04,test,2,176572,0.9940874062007405,0.004655324740049385,822
macro_logit,origin_2021_04,test,3,176572,0.9988544251640742,0.0037661690415241376,665
macro_logit,origin_2021_04,test,4,176571,0.9996520236362226,0.0028543758601355827,504
macro_logit,origin_2021_04,test,5,176571,0.9998443711270426,0.0024692616567839566,436
macro_logit,origin_2021_04,test,6,176571,0.9999195692173038,0.0030356060734775246,536
macro_logit,origin_2021_04,test,7,176571,0.9999572413844228,0.003873795810184005,684
macro_logit,origin_2021_04,test,8,176571,0.9999789642050861,0.0055388483952630956,978
macro_logit,origin_2021_04,test,9,176571,0.9999931051368913,0.0202694666734628,3579
regime_aware_logit,origin_2021_04,validation,0,147205,0.01650520922255388,0.03086851669440576,4544
regime_aware_logit,origin_2021_04,validation,1,147205,0.018610375876342507,0.02124927821745185,3128
regime_aware_logit,origin_2021_04,validation,2,147205,0.020041399168149125,0.01582826670289732,2330
regime_aware_logit,origin_2021_04,validation,3,147205,0.021264638944231227,0.01398729662715261,2059
